,Apply,Company,Duration,Link,Location,Posted,Profile,Start,Stipend,Tag
0,23 Jan'20,CEAT Limited,12 Months,/internship/detail/chartered-accountancy-ca-internship-in-mumbai-at-ceat-limited1578393709,Mumbai,8 Jan'20,Chartered Accountancy (CA),Immediately,25000 /Month,Accounts
1,23 Jan'20,Azim Premji Foundation,2 Months,/internship/detail/data-handling-and-research-accounts-internship-in-bangalore-at-azim-premji-foundation1578466231,Bangalore,8 Jan'20,Data Handling And Research (Accounts),Immediately,9000 /Month,Accounts
2,21 Jan'20,Colgate Palmolive (India) Limited,6 Months,/internship/detail/ecommerce-account-management-internship-in-mumbai-at-colgate-palmolive-india-limited1578370701,Mumbai,7 Jan'20,Ecommerce Account Management,Immediately,20000-25000 /Month,Accounts
3,2 Feb'20,Acuris,3 Months,/internship/detail/accounts-internship-in-mumbai-at-acuris1579333517,Mumbai,18 Jan'20,Accounts,Immediately,10000 /Month,Accounts
4,2 Feb'20,Integrated Spaces Limited,6 Months,/internship/detail/accounts-internship-in-mumbai-at-integrated-spaces-limited1579174549,Mumbai,18 Jan'20,Accounts,Immediately,3000 /Month,Accounts
5,1 Feb'20,My PA Consultants LLP,6 Months,/internship/detail/accounts-internship-in-kolkata-at-my-pa-consultants-llp1579329885,Kolkata,18 Jan'20,Accounts,Immediately,2000-7000 /Month,Accounts
6,1 Feb'20,Wasteland Mineral LLP,6 Months,/internship/detail/accounts-internship-in-bhubaneswar-keonjhar-at-wasteland-mineral-llp1579322035,Bhubaneswar,18 Jan'20,Accounts,Immediately,6000 /Month,Accounts
7,2 Feb'20,Zilingo Global Private Limited,3 Months,/internship/detail/finance-accounts-internship-in-bangalore-at-zilingo-global-private-limited1579165859,Bangalore,18 Jan'20,Finance & Accounts,Immediately,10000 /Month,Accounts
8,1 Feb'20,Tejasvi Vidyaranya,2 Months,/internship/detail/education-reformist-fellowship-internship-in-hyderabad-at-tejasvi-vidyaranya1579309368,Hyderabad,18 Jan'20,Education Reformist Fellowship,Immediately,8000-12000 /Month,Accounts
9,31 Jan'20,Pankaj Bora Tax and Project Consultants,2 Months,/internship/detail/chartered-accountancy-ca-internship-in-mumbai-at-pankaj-bora-tax-and-project-consultants1579267719,Mumbai,17 Jan'20,Chartered Accountancy (CA),Immediately,8000 /Month,Accounts
