,Apply,Company,Duration,Link,Location,Posted,Profile,Start,Stipend,Tag
0,31 Jan'20,First Step Digital Private Limited,1 Month,/internship/detail/brand-management-internship-in-gurgaon-delhi-at-first-step-digital-private-limited1579174955,Gurgaon,16 Jan'20,Brand Management,Immediately,2000 /Month,Brand Management
1,30 Jan'20,BookMyShow,3 Months,/internship/detail/sponsorship-sales-internship-in-mumbai-at-bookmyshow1579173695,Mumbai,16 Jan'20,Sponsorship Sales,Immediately,5000 /Month,Brand Management
2,23 Jan'20,Nykaa,4 Months,/internship/detail/sourcing-brand-management-internship-in-mumbai-at-nykaa1578377886,Mumbai,8 Jan'20,Sourcing & Brand Management,Immediately,10000 /Month,Brand Management
3,1 Feb'20,Kraft Education,3 Months,/internship/detail/business-management-part-time-job-internship-at-mumbai-in-kraft-education1579324925,Mumbai,18 Jan'20,Business Management,Immediately,6000-12000 /Month,Brand Management
4,30 Jan'20,Zeko Online Private Limited,6 Months,/internship/detail/merchandising-internship-in-mumbai-at-zeko-online-private-limited1579181508,Mumbai,16 Jan'20,Merchandising,Immediately,5000-10000 /Month,Brand Management
5,31 Jan'20,Track My Charity (www.TrackMyCharity.com),3 Months,/internship/detail/event-management-internship-in-mumbai-at-track-my-charity-wwwtrackmycharitycom1579174023,Mumbai,16 Jan'20,Event Management,Immediately,7500 /Month,Brand Management
6,31 Jan'20,Prosync Infotech Private Limited,6 Months,/internship/detail/e-commerce-management-internship-in-delhi-at-prosync-infotech-private-limited1579163009,Delhi,16 Jan'20,E-Commerce Management,Immediately,6000 /Month,Brand Management
7,28 Jan'20,SMD Consultants Private Limited,3 Months,/internship/detail/brand-management-internship-in-gurgaon-at-smd-consultants-private-limited1578656753,Gurgaon,13 Jan'20,Brand Management,Immediately,10000-15000 /Month,Brand Management
8,28 Jan'20,MSecure Data Labs Private Limited,1 Month,/internship/detail/brand-management-part-time-job-internship-at-hyderabad-in-msecure-data-labs-private-limited1578634394,Hyderabad,13 Jan'20,Brand Management,Immediately,6000 /Month +  Incentives,Brand Management
9,24 Jan'20,Foodwalas,1 Month,/internship/detail/marketing-food-exploration-work-from-home-job-internship-at-foodwalas1578655715,Work From Home,10 Jan'20,Marketing (Food Exploration),Immediately,5000-10000 /Month,Brand Management
10,22 Jan'20,Infinite Engineers,2 Months,/internship/detail/public-school-relations-management-internship-in-chennai-at-infinite-engineers1578385595,Chennai,7 Jan'20,Public & School Relations Management,Immediately,3000-6000 /Month,Brand Management
11,21 Jan'20,ScienceUtsav,6 Months,/internship/detail/brand-management-internship-in-multiple-locations-at-scienceutsav1578309309,Thane,6 Jan'20,Brand Management,Immediately,10000-13000 /Month,Brand Management
12,18 Jan'20,Vivek Creation,6 Months,/internship/detail/social-media-marketing-internship-in-kolkata-at-vivek-creation1577966676,Kolkata,3 Jan'20,Social Media Marketing,Immediately,2500 /Month,Brand Management
13,24 Jan'20,KAAFI ENTERPRISES PRIVATE LIMITED,3 Months,/internship/detail/brand-management-work-from-home-job-internship-at-kaafi-enterprises-private-limited1576842785,Work From Home,20 Dec'19,Brand Management,Immediately,4000-7500 /Month,Brand Management
14,31 Jan'20,First Step Digital Private Limited,1 Month,/internship/detail/brand-management-internship-in-gurgaon-delhi-at-first-step-digital-private-limited1579174955,Gurgaon,16 Jan'20,Brand Management,Immediately,2000 /Month,Brand Management
15,30 Jan'20,BookMyShow,3 Months,/internship/detail/sponsorship-sales-internship-in-mumbai-at-bookmyshow1579173695,Mumbai,16 Jan'20,Sponsorship Sales,Immediately,5000 /Month,Brand Management
16,23 Jan'20,Nykaa,4 Months,/internship/detail/sourcing-brand-management-internship-in-mumbai-at-nykaa1578377886,Mumbai,8 Jan'20,Sourcing & Brand Management,Immediately,10000 /Month,Brand Management
17,1 Feb'20,Kraft Education,3 Months,/internship/detail/business-management-part-time-job-internship-at-mumbai-in-kraft-education1579324925,Mumbai,18 Jan'20,Business Management,Immediately,6000-12000 /Month,Brand Management
18,30 Jan'20,Zeko Online Private Limited,6 Months,/internship/detail/merchandising-internship-in-mumbai-at-zeko-online-private-limited1579181508,Mumbai,16 Jan'20,Merchandising,Immediately,5000-10000 /Month,Brand Management
19,31 Jan'20,Track My Charity (www.TrackMyCharity.com),3 Months,/internship/detail/event-management-internship-in-mumbai-at-track-my-charity-wwwtrackmycharitycom1579174023,Mumbai,16 Jan'20,Event Management,Immediately,7500 /Month,Brand Management
20,31 Jan'20,Prosync Infotech Private Limited,6 Months,/internship/detail/e-commerce-management-internship-in-delhi-at-prosync-infotech-private-limited1579163009,Delhi,16 Jan'20,E-Commerce Management,Immediately,6000 /Month,Brand Management
21,28 Jan'20,SMD Consultants Private Limited,3 Months,/internship/detail/brand-management-internship-in-gurgaon-at-smd-consultants-private-limited1578656753,Gurgaon,13 Jan'20,Brand Management,Immediately,10000-15000 /Month,Brand Management
22,28 Jan'20,MSecure Data Labs Private Limited,1 Month,/internship/detail/brand-management-part-time-job-internship-at-hyderabad-in-msecure-data-labs-private-limited1578634394,Hyderabad,13 Jan'20,Brand Management,Immediately,6000 /Month +  Incentives,Brand Management
23,24 Jan'20,Foodwalas,1 Month,/internship/detail/marketing-food-exploration-work-from-home-job-internship-at-foodwalas1578655715,Work From Home,10 Jan'20,Marketing (Food Exploration),Immediately,5000-10000 /Month,Brand Management
24,22 Jan'20,Infinite Engineers,2 Months,/internship/detail/public-school-relations-management-internship-in-chennai-at-infinite-engineers1578385595,Chennai,7 Jan'20,Public & School Relations Management,Immediately,3000-6000 /Month,Brand Management
25,21 Jan'20,ScienceUtsav,6 Months,/internship/detail/brand-management-internship-in-multiple-locations-at-scienceutsav1578309309,Thane,6 Jan'20,Brand Management,Immediately,10000-13000 /Month,Brand Management
