,Apply,Company,Duration,Link,Location,Posted,Profile,Rewards,Start,Stipend,Tag
0,30 Jan'20,"Srijan, IIT (ISM) Dhanbad.",3 Weeks,/internship/detail/campus-ambassador-programme-at-srijan-iit-ism-dhanbad1578667009,Dhanbad,15 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
1,30 Jan'20,AAHVAAN,1 Month,/internship/detail/campus-ambassador-programme-at-aahvaan1578719981,Delhi,15 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
2,1 Feb'20,"Techkriti, IIT Kanpur",6 Months,/internship/detail/campus-ambassador-programme-at-techkriti-iit-kanpur1579101871,Work From Home,17 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
3,1 Feb'20,GamingMonk,4 Weeks,/internship/detail/campus-ambassador-programme-at-gamingmonk1579088232,Work From Home,17 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
4,1 Feb'20,CallE,6 Months,/internship/detail/campus-ambassador-programme-at-calle1579166033,Work From Home,17 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
5,1 Feb'20,Whispering Shouts,2 Weeks,/internship/detail/campus-ambassador-programme-at-whispering-shouts1579259992,Work From Home,17 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
6,1 Feb'20,DROR LABS,1 Month,/internship/detail/campus-ambassador-programme-at-dror-labs1579160306,Gurgaon,17 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
7,1 Feb'20,Socioteria,3 Weeks,/internship/detail/campus-ambassador-programme-at-socioteria1578770207,Delhi,17 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
8,1 Feb'20,Nalanda College Of Engineering Chandi,3 Weeks,/internship/detail/campus-ambassador-programme-at-nalanda-college-of-engineering-chandi1578993650,Work From Home,17 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
9,1 Feb'20,Abhyas | The Internship Cell Of Hindu College,1 Month,/internship/detail/campus-ambassador-programme-at-abhyas--the-internship-cell-of-hindu-college1579074749,Work From Home,17 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
10,31 Jan'20,"Tryst, IIT Delhi",2 Months,/internship/detail/campus-ambassador-programme-at-tryst-iit-delhi1579016894,Work From Home,17 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
11,3 Feb'20,"Entrepreneurship Cell, VIT University",2 Months,/internship/detail/campus-ambassador-programme-at-entrepreneurship-cell-vit-university1578905160,Work From Home,16 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
12,31 Jan'20,"Nimbus,NIT Hamirpur",2 Months,/internship/detail/campus-ambassador-programme-at-nimbus-nit-hamirpur1579070180,Work From Home,16 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
13,31 Jan'20,Pinkonnect Express Private Limited (Paapos),6 Weeks,/internship/detail/campus-ambassador-programme-at-pinkonnect-express-private-limited-paapos1579018434,Work From Home,16 Jan'20,Campus Ambassador,Performance Based,Immediately,,Campus Ambassador
