,Apply,Company,Duration,Link,Location,Posted,Profile,Start,Stipend,Tag
0,30 Jan'20,Tuhina  Chopra,6 Months,/internship/detail/cinematography-internship-in-delhi-at-tuhina-chopra1579172809,Delhi,16 Jan'20,Cinematography,Immediately,8000 /Month,Cinematography
1,28 Jan'20,Exchange4Artist,6 Months,/internship/detail/cinematography-video-editing-internship-in-mumbai-at-exchange4artist1578983095,Mumbai,14 Jan'20,Cinematography & Video Editing,Immediately,8000 /Month,Cinematography
2,28 Jan'20,Bollygrad Studioz,6 Months,/internship/detail/cinematography-internship-in-delhi-at-bollygrad-studioz1578914978,Delhi,13 Jan'20,Cinematography,Immediately,3000-6000 /Month,Cinematography
3,25 Jan'20,Shutterspeed,3 Months,/internship/detail/cinematography-video-camera-assistance-internship-in-mumbai-at-shutterspeed1578620818,Mumbai,10 Jan'20,Cinematography & Video Camera Assistance,Immediately,6000-8000 /Month,Cinematography
4,10 Feb'20,Sebastian Fitness Solutions,4 Months,/internship/detail/cinematography-videography-part-time-job-internship-at-mumbai-in-sebastian-fitness-solutions1578325879,Mumbai,6 Jan'20,Cinematography & Videography,Immediately,5000-8000 /Month,Cinematography
5,20 Jan'20,Organic Cinema,1 Month,/internship/detail/di-coloring-work-from-home-job-internship-at-organic-cinema1578314407,Work From Home,6 Jan'20,DI (Coloring),Immediately,3000-5000 /Month,Cinematography
6,20 Jan'20,Chilsag Entertainment Network,1 Month,/internship/detail/assistant-direction-part-time-job-internship-at-mumbai-in-chilsag-entertainment-network1578306453,Mumbai,6 Jan'20,Assistant Direction,Immediately,3000 /Month,Cinematography
7,19 Jan'20,Aakash Films & Media Academy,3 Months,/internship/detail/cinematography-internship-in-delhi-at-aakash-films-media-academy1578200622,Delhi,5 Jan'20,Cinematography,Immediately,6000 Lump-Sum,Cinematography
8,25 Jan'20,EverythingTech,3 Months,/internship/detail/camera-operations-work-from-home-job-internship-at-everythingtech1576852058,Work From Home,20 Dec'19,Camera Operations,Immediately,1000 /Month +  Incentives,Cinematography
9,30 Jan'20,Tuhina  Chopra,6 Months,/internship/detail/cinematography-internship-in-delhi-at-tuhina-chopra1579172809,Delhi,16 Jan'20,Cinematography,Immediately,8000 /Month,Cinematography
10,28 Jan'20,Exchange4Artist,6 Months,/internship/detail/cinematography-video-editing-internship-in-mumbai-at-exchange4artist1578983095,Mumbai,14 Jan'20,Cinematography & Video Editing,Immediately,8000 /Month,Cinematography
11,28 Jan'20,Bollygrad Studioz,6 Months,/internship/detail/cinematography-internship-in-delhi-at-bollygrad-studioz1578914978,Delhi,13 Jan'20,Cinematography,Immediately,3000-6000 /Month,Cinematography
12,25 Jan'20,Shutterspeed,3 Months,/internship/detail/cinematography-video-camera-assistance-internship-in-mumbai-at-shutterspeed1578620818,Mumbai,10 Jan'20,Cinematography & Video Camera Assistance,Immediately,6000-8000 /Month,Cinematography
13,10 Feb'20,Sebastian Fitness Solutions,4 Months,/internship/detail/cinematography-videography-part-time-job-internship-at-mumbai-in-sebastian-fitness-solutions1578325879,Mumbai,6 Jan'20,Cinematography & Videography,Immediately,5000-8000 /Month,Cinematography
14,20 Jan'20,Organic Cinema,1 Month,/internship/detail/di-coloring-work-from-home-job-internship-at-organic-cinema1578314407,Work From Home,6 Jan'20,DI (Coloring),Immediately,3000-5000 /Month,Cinematography
15,20 Jan'20,Chilsag Entertainment Network,1 Month,/internship/detail/assistant-direction-part-time-job-internship-at-mumbai-in-chilsag-entertainment-network1578306453,Mumbai,6 Jan'20,Assistant Direction,Immediately,3000 /Month,Cinematography
16,19 Jan'20,Aakash Films & Media Academy,3 Months,/internship/detail/cinematography-internship-in-delhi-at-aakash-films-media-academy1578200622,Delhi,5 Jan'20,Cinematography,Immediately,6000 Lump-Sum,Cinematography
17,25 Jan'20,EverythingTech,3 Months,/internship/detail/camera-operations-work-from-home-job-internship-at-everythingtech1576852058,Work From Home,20 Dec'19,Camera Operations,Immediately,1000 /Month +  Incentives,Cinematography
