,Apply,Company,Duration,Link,Location,Posted,Profile,Start,Stipend,Tag
0,8 Feb'20,Internshala,6 Months,/internship/detail/proofreading-client-interaction-internship-in-gurgaon-at-internshala1578977203,Gurgaon,14 Jan'20,Proofreading & Client Interaction,Immediately,20000 /Month,Client Servicing
1,30 Jan'20,Delhivery Private Limited,4 Months,/internship/detail/client-servicing-internship-in-kolkata-at-delhivery-private-limited1579170996,Kolkata,16 Jan'20,Client Servicing,Immediately,9000 /Month,Client Servicing
2,31 Jan'20,Motilal Oswal,4 Months,/internship/detail/relationship-management-internship-in-mumbai-at-motilal-oswal1579156907,Mumbai,16 Jan'20,Relationship Management,Immediately,3000 /Month,Client Servicing
3,30 Jan'20,Treebo Hotels,6 Months,/internship/detail/customer-service-internship-in-bangalore-at-treebo-hotels1579086183,Bangalore,15 Jan'20,Customer Service,Immediately,16000 /Month,Client Servicing
4,28 Jan'20,Times Network,3 Months,/internship/detail/traffic-presentation-internship-in-mumbai-at-times-network1578984526,Mumbai,14 Jan'20,Traffic & Presentation,Immediately,3000 /Month,Client Servicing
5,28 Jan'20,Think & Learn Private Limited (BYJU'S),3 Months,/internship/detail/campaign-marketing-internship-in-multiple-locations-at-think-learn-private-limited-byjus1578997149,Delhi,13 Jan'20,Campaign Marketing,Immediately,15000 /Month,Client Servicing
6,2 Feb'20,Moretasks Business Solution Limited,6 Months,/internship/detail/client-servicing-internship-in-gurgaon-at-moretasks-business-solution-limited1579173142,Gurgaon,18 Jan'20,Client Servicing,Immediately,15000-20000 /Month,Client Servicing
7,1 Feb'20,ANS Commerce,3 Months,/internship/detail/client-servicing-internship-in-gurgaon-at-ans-commerce1579329170,Gurgaon,18 Jan'20,Client Servicing,Immediately,10000 /Month,Client Servicing
8,1 Feb'20,Kraft Education,3 Months,/internship/detail/business-administration-part-time-job-internship-at-mumbai-in-kraft-education1579324901,Mumbai,18 Jan'20,Business Administration,Immediately,6000-12000 /Month,Client Servicing
9,31 Jan'20,Mansa,6 Months,/internship/detail/client-servicing-internship-in-delhi-at-mansa1579257070,Delhi,17 Jan'20,Client Servicing,Immediately,5000 /Month,Client Servicing
10,31 Jan'20,Showtime Events,2 Months,/internship/detail/client-servicing-internship-in-mumbai-gurgaon-at-showtime-events1579242749,Mumbai,17 Jan'20,Client Servicing,Immediately,8000 /Month,Client Servicing
11,30 Jan'20,Torcai,3 Months,/internship/detail/digital-marketing-and-client-servicing-internship-in-noida-at-torcai1579168881,Noida,16 Jan'20,Digital Marketing And Client Servicing,Immediately,10000-15000 /Month,Client Servicing
12,30 Jan'20,Taraspan Private Limited,6 Months,/internship/detail/technical-support-internship-in-pune-at-taraspan-private-limited1579159649,Pune,16 Jan'20,Technical Support,Immediately,15000 /Month,Client Servicing
13,30 Jan'20,Housewise,3 Months,/internship/detail/client-servicing-part-time-job-internship-at-multiple-locations-in-housewise1579156519,Pune,16 Jan'20,Client Servicing,Immediately,6000-10000 /Month,Client Servicing
14,30 Jan'20,Branding Pioneers,3 Months,/internship/detail/client-servicing-internship-in-gurgaon-at-branding-pioneers1579154747,Gurgaon,16 Jan'20,Client Servicing,Immediately,10000-12000 /Month,Client Servicing
15,19 Feb'20,Sweeti Chaudhary,6 Months,/internship/detail/client-servicing-internship-in-kolkata-at-sweeti-chaudhary1579083022,Kolkata,15 Jan'20,Client Servicing,Immediately,10000-20000 /Month,Client Servicing
16,30 Jan'20,BetterLives Ventures,6 Months,/internship/detail/international-customer-relationship-management-internship-in-gurgaon-at-betterlives-ventures1578910997,Gurgaon,15 Jan'20,International Customer Relationship Management,Immediately,15000-18000 /Month,Client Servicing
17,30 Jan'20,Taste Of Afghan,3 Months,/internship/detail/telecalling-internship-in-noida-at-taste-of-afghan1579065980,Noida,15 Jan'20,Telecalling,Immediately,8000 /Month,Client Servicing
18,30 Jan'20,Internshala,6 Months,/internship/detail/student-counselling-and-support-internship-in-gurgaon-at-internshala1579062036,Gurgaon,15 Jan'20,Student Counselling And Support,Immediately,20000 /Month,Client Servicing
19,29 Jan'20,Expertrons,6 Months,/internship/detail/client-servicing-internship-in-mumbai-at-expertrons1578574096,Mumbai,14 Jan'20,Client Servicing,Immediately,7500-10000 /Month,Client Servicing
20,29 Jan'20,Embibe (Individual Learning Private Limited),6 Months,/internship/detail/customer-support-internship-in-bangalore-at-embibe-individual-learning-private-limited1579001368,Bangalore,14 Jan'20,Customer Support,Immediately,15000 /Month,Client Servicing
