,Apply,Company,Duration,Link,Location,Posted,Profile,Start,Stipend,Tag
0,31 Jan'20,Motilal Oswal,4 Months,/internship/detail/stock-market-trading-strategy-development-internship-in-mumbai-at-motilal-oswal1579090031,Mumbai,16 Jan'20,Stock Market Trading Strategy Development,Immediately,3000 /Month,Data Science
1,29 Jan'20,Motilal Oswal,4 Months,/internship/detail/data-analytics-internship-in-mumbai-at-motilal-oswal1579091977,Mumbai,15 Jan'20,Data Analytics,Immediately,3000 /Week,Data Science
2,29 Jan'20,IIT Bombay,6 Months,/internship/detail/backend-web-development-machine-learning-internship-in-mumbai-at-iit-bombay1579074686,Mumbai,15 Jan'20,Backend Web Development & Machine Learning,Immediately,3000-5000 /Month,Data Science
3,28 Jan'20,Tech Mahindra,6 Months,/internship/detail/subject-matter-expert-big-data-internship-in-hyderabad-at-tech-mahindra1578649182,Hyderabad,13 Jan'20,Subject Matter Expert (Big Data),Immediately,10000 /Month,Data Science
4,25 Jan'20,Yatra Online Private Limited,6 Months,/internship/detail/data-science-internship-in-gurgaon-at-yatra-online-private-limited1578740693,Gurgaon,11 Jan'20,Data Science,Immediately,10000 /Month,Data Science
5,21 Jan'20,Tech Mahindra,6 Months,/internship/detail/subject-matter-expert-data-science-tableau-internship-in-hyderabad-at-tech-mahindra1578398327,Hyderabad,7 Jan'20,Subject Matter Expert (Data Science & Tableau),Immediately,10000 /Month,Data Science
6,25 Jan'20,Hindustan Unilever Limited,3 Months,/internship/detail/data-analytics-internship-in-mumbai-at-hindustan-unilever-limited1577683342,Mumbai,30 Dec'19,Data Analytics,Immediately,25000 /Month,Data Science
7,28 Jan'20,FedEx,6 Months,/internship/detail/data-analytics-internship-in-mumbai-at-fedex1577161982,Mumbai,24 Dec'19,Data Analytics,Immediately,20000-25000 /Month,Data Science
8,2 Feb'20,Sufa Digital Media,2 Months,/internship/detail/machine-learning-work-from-home-job-internship-at-sufa-digital-media1579330674,Work From Home,18 Jan'20,Machine Learning,Immediately,2500 Lump-Sum,Data Science
9,1 Feb'20,AI Droid,3 Months,/internship/detail/machine-learning-internship-in-secunderabad-hyderabad-at-ai-droid1579326312,Secunderabad,18 Jan'20,Machine Learning,Immediately,15000-25000 /Month,Data Science
10,31 Jan'20,Criotam Technologies Private Limited,3 Months,/internship/detail/computer-vision-and-machine-learning-internship-in-bangalore-at-criotam-technologies-private-limited1579261675,Bangalore,17 Jan'20,Computer Vision And Machine Learning,Immediately,10000 /Month,Data Science
11,1 Feb'20,SynThera Biomedical Private Limited,3 Months,/internship/detail/development-of-medical-devices-internship-in-pune-at-synthera-biomedical-private-limited1579261590,Pune,17 Jan'20,Development of Medical Devices,Immediately,5000 /Month,Data Science
12,31 Jan'20,Avanov Solutions,2 Months,/internship/detail/machine-learning-work-from-home-job-internship-at-avanov-solutions1578403524,Work From Home,17 Jan'20,Machine Learning,Immediately,8000 /Month,Data Science
13,31 Jan'20,Arthashastra Intelligence Private Limited,6 Months,/internship/detail/data-analytics-internship-in-delhi-hyderabad-at-arthashastra-intelligence-private-limited1579245703,Delhi,17 Jan'20,Data Analytics,Immediately,3500 /Month,Data Science
14,31 Jan'20,Digiledge,6 Months,/internship/detail/machine-learning-internship-in-bangalore-at-digiledge1579240579,Bangalore,17 Jan'20,Machine Learning,Immediately,15000 /Month,Data Science
15,1 Feb'20,Tutree,6 Months,/internship/detail/machine-learning-internship-in-noida-at-tutree1579159109,Noida,17 Jan'20,Machine Learning,Immediately,5000-10000 /Month,Data Science
16,22 Feb'20,Headstrt,6 Months,/internship/detail/machine-learning-work-from-home-job-internship-at-headstrt1579205092,Work From Home,17 Jan'20,Machine Learning,25 May - 6 Jun'20,20000-30000 /Month,Data Science
17,30 Jan'20,First Launch,3 Months,/internship/detail/data-analytics-internship-in-bangalore-at-first-launch1579190827,Bangalore,16 Jan'20,Data Analytics,Immediately,10000 /Month,Data Science
18,30 Jan'20,Crelytics,2 Months,/internship/detail/data-science-internship-in-mumbai-at-crelytics1579187114,Mumbai,16 Jan'20,Data Science,Immediately,7000 /Month,Data Science
19,30 Jan'20,Blu Smart Mobility,2 Months,/internship/detail/data-science-internship-in-gurgaon-at-blu-smart-mobility1579172201,Gurgaon,16 Jan'20,Data Science,Immediately,20000 /Month,Data Science
20,30 Jan'20,Aidetic Software Private Limited,6 Months,/internship/detail/machine-learning-deep-learning-intern-internship-in-bangalore-at-aidetic-software-private-limited1579170725,Bangalore,16 Jan'20,Machine Learning/Deep Learning Intern,Immediately,10000-15000 /Month,Data Science
21,30 Jan'20,Applicate IT Solutions Private Limited,3 Months,/internship/detail/machine-learning-internship-in-gurgaon-at-applicate-it-solutions-private-limited1579168767,Gurgaon,16 Jan'20,Machine Learning,Immediately,10000 /Month,Data Science
22,31 Jan'20,Venture Catalysts Private Limited,2 Months,/internship/detail/investment-analytics-internship-in-mumbai-at-venture-catalysts-private-limited1579163770,Mumbai,16 Jan'20,Investment Analytics,Immediately,5000 /Month,Data Science
23,31 Jan'20,Swag-i-Noor,3 Months,/internship/detail/google-analytics-internship-in-jaipur-at-swag-i-noor1579090176,Jaipur,16 Jan'20,Google Analytics,Immediately,3000 /Month,Data Science
24,31 Jan'20,One Impression,6 Months,/internship/detail/data-science-internship-in-gurgaon-at-one-impression1579102289,Gurgaon,16 Jan'20,Data Science,Immediately,15000-20000 /Month,Data Science
25,30 Jan'20,AnswerWise,6 Months,/internship/detail/machine-learning-internship-in-bangalore-at-answerwise1579157439,Bangalore,16 Jan'20,Machine Learning,Immediately,15000 /Month,Data Science
26,31 Jan'20,Tejarat Marketing,6 Months,/internship/detail/marketing-analytics-internship-in-noida-at-tejarat-marketing1579155463,Noida,16 Jan'20,Marketing Analytics,Immediately,5000 /Month,Data Science
27,30 Jan'20,Techjockey,6 Months,/internship/detail/data-analytics-internship-in-delhi-at-techjockey1579155273,Delhi,16 Jan'20,Data Analytics,Immediately,7000-10000 /Month,Data Science
28,21 Feb'20,Sweeti Chaudhary,6 Months,/internship/detail/business-analytics-internship-in-bangalore-at-sweeti-chaudhary1579154836,Bangalore,16 Jan'20,Business Analytics,Immediately,10000-20000 /Month,Data Science
29,31 Jan'20,Chapter Vitamins,2 Months,/internship/detail/data-science-part-time-job-internship-at-multiple-locations-in-chapter-vitamins1579064108,Delhi,16 Jan'20,Data Science,Immediately,4000-5000 /Month,Data Science
30,31 Jan'20,INSAID,6 Months,/internship/detail/data-science-researching-internship-in-gurgaon-at-insaid1579152398,Gurgaon,16 Jan'20,Data Science Researching,Immediately,10000 /Month,Data Science
31,31 Jan'20,14W Technologies,2 Months,/internship/detail/data-annotation-part-time-work-from-home-job-internship-at-14w-technologies1579064151,Work From Home,16 Jan'20,Data Annotation (part-time),Immediately,2000 Lump-Sum,Data Science
32,30 Jan'20,Totality Corporation,3 Months,/internship/detail/artificial-intelligence-aiand-machine-learning-internship-in-gurgaon-at-totality-corporation1579148110,Gurgaon,16 Jan'20,Artificial Intelligence (AI)and Machine Learning,Immediately,20000 /Month,Data Science
33,30 Jan'20,Midbrains Technologies,2 Months,/internship/detail/business-analytics-part-time-job-internship-at-multiple-locations-in-midbrains-technologies1579147157,Pune,16 Jan'20,Business Analytics,Immediately,2500-5000 /Month,Data Science
34,31 Jan'20,Algoscale Technologies Private Limited,6 Months,/internship/detail/data-analytics-internship-in-noida-at-algoscale-technologies-private-limited1579116261,Noida,16 Jan'20,Data Analytics,Immediately,8000-15000 /Month,Data Science
35,31 Jan'20,IBI Consultancy India Private Limited,6 Months,/internship/detail/business-analytics-internship-in-bangalore-at-ibi-consultancy-india-private-limited1579007718,Bangalore,16 Jan'20,Business Analytics,Immediately,5000-10000 /Month,Data Science
36,29 Jan'20,Blackcoffer,6 Months,/internship/detail/data-science-internship-in-delhi-at-blackcoffer1579097240,Delhi,15 Jan'20,Data Science,Immediately,6000-10000 /Month,Data Science
37,29 Jan'20,Hvantage Technologies Incorporation,6 Months,/internship/detail/data-science-internship-in-indore-at-hvantage-technologies-incorporation1579093540,Indore,15 Jan'20,Data Science,Immediately,12000-15000 Lump-Sum,Data Science
38,29 Jan'20,Hvantage Technologies Incorporated,6 Months,/internship/detail/data-science-internship-in-indore-at-hvantage-technologies-incorporated1579093445,Indore,15 Jan'20,Data Science,Immediately,12000-15000 Lump-Sum,Data Science
39,15 Feb'20,The Institute Of Science And Technology Austria (IST Austria),2 Months,/internship/detail/internship-at-the-institute-of-science-and-technology-austria-ist-austria1579092786,Klosterneuburg (Austria),15 Jan'20,ISTernship Summer Program,15 May'20,Not provided,Data Science
40,31 Jan'20,Motilal Oswal,4 Months,/internship/detail/stock-market-trading-strategy-development-internship-in-mumbai-at-motilal-oswal1579090031,Mumbai,16 Jan'20,Stock Market Trading Strategy Development,Immediately,3000 /Month,Data Science
41,29 Jan'20,Motilal Oswal,4 Months,/internship/detail/data-analytics-internship-in-mumbai-at-motilal-oswal1579091977,Mumbai,15 Jan'20,Data Analytics,Immediately,3000 /Week,Data Science
42,29 Jan'20,IIT Bombay,6 Months,/internship/detail/backend-web-development-machine-learning-internship-in-mumbai-at-iit-bombay1579074686,Mumbai,15 Jan'20,Backend Web Development & Machine Learning,Immediately,3000-5000 /Month,Data Science
43,28 Jan'20,Tech Mahindra,6 Months,/internship/detail/subject-matter-expert-big-data-internship-in-hyderabad-at-tech-mahindra1578649182,Hyderabad,13 Jan'20,Subject Matter Expert (Big Data),Immediately,10000 /Month,Data Science
44,25 Jan'20,Yatra Online Private Limited,6 Months,/internship/detail/data-science-internship-in-gurgaon-at-yatra-online-private-limited1578740693,Gurgaon,11 Jan'20,Data Science,Immediately,10000 /Month,Data Science
45,21 Jan'20,Tech Mahindra,6 Months,/internship/detail/subject-matter-expert-data-science-tableau-internship-in-hyderabad-at-tech-mahindra1578398327,Hyderabad,7 Jan'20,Subject Matter Expert (Data Science & Tableau),Immediately,10000 /Month,Data Science
46,25 Jan'20,Hindustan Unilever Limited,3 Months,/internship/detail/data-analytics-internship-in-mumbai-at-hindustan-unilever-limited1577683342,Mumbai,30 Dec'19,Data Analytics,Immediately,25000 /Month,Data Science
47,28 Jan'20,FedEx,6 Months,/internship/detail/data-analytics-internship-in-mumbai-at-fedex1577161982,Mumbai,24 Dec'19,Data Analytics,Immediately,20000-25000 /Month,Data Science
48,2 Feb'20,Sufa Digital Media,2 Months,/internship/detail/machine-learning-work-from-home-job-internship-at-sufa-digital-media1579330674,Work From Home,18 Jan'20,Machine Learning,Immediately,2500 Lump-Sum,Data Science
49,1 Feb'20,AI Droid,3 Months,/internship/detail/machine-learning-internship-in-secunderabad-hyderabad-at-ai-droid1579326312,Secunderabad,18 Jan'20,Machine Learning,Immediately,15000-25000 /Month,Data Science
50,31 Jan'20,Criotam Technologies Private Limited,3 Months,/internship/detail/computer-vision-and-machine-learning-internship-in-bangalore-at-criotam-technologies-private-limited1579261675,Bangalore,17 Jan'20,Computer Vision And Machine Learning,Immediately,10000 /Month,Data Science
51,1 Feb'20,SynThera Biomedical Private Limited,3 Months,/internship/detail/development-of-medical-devices-internship-in-pune-at-synthera-biomedical-private-limited1579261590,Pune,17 Jan'20,Development of Medical Devices,Immediately,5000 /Month,Data Science
52,31 Jan'20,Avanov Solutions,2 Months,/internship/detail/machine-learning-work-from-home-job-internship-at-avanov-solutions1578403524,Work From Home,17 Jan'20,Machine Learning,Immediately,8000 /Month,Data Science
53,31 Jan'20,Arthashastra Intelligence Private Limited,6 Months,/internship/detail/data-analytics-internship-in-delhi-hyderabad-at-arthashastra-intelligence-private-limited1579245703,Delhi,17 Jan'20,Data Analytics,Immediately,3500 /Month,Data Science
54,31 Jan'20,Digiledge,6 Months,/internship/detail/machine-learning-internship-in-bangalore-at-digiledge1579240579,Bangalore,17 Jan'20,Machine Learning,Immediately,15000 /Month,Data Science
55,1 Feb'20,Tutree,6 Months,/internship/detail/machine-learning-internship-in-noida-at-tutree1579159109,Noida,17 Jan'20,Machine Learning,Immediately,5000-10000 /Month,Data Science
56,22 Feb'20,Headstrt,6 Months,/internship/detail/machine-learning-work-from-home-job-internship-at-headstrt1579205092,Work From Home,17 Jan'20,Machine Learning,25 May - 6 Jun'20,20000-30000 /Month,Data Science
57,30 Jan'20,First Launch,3 Months,/internship/detail/data-analytics-internship-in-bangalore-at-first-launch1579190827,Bangalore,16 Jan'20,Data Analytics,Immediately,10000 /Month,Data Science
