,Apply,Category,Company,Duration,Link,Location,Posted,Profile,Rewards,Start,Stipend
0,31 Jan'20,Digital Marketing,Sudarshan TV Channel Private Limited,3 Months,https://internshala.com/internship/detail/digital-marketing-internship-in-noida-at-sudarshan-tv-channel-private-limited1579241313,Noida,17 Jan'20,Digital Marketing,,Immediately,2000-5000 /Month
1,31 Jan'20,Digital Marketing,FirstCry.com,4 Months,https://internshala.com/internship/detail/digital-marketing-internship-in-pune-at-firstcrycom1579234454,Pune,17 Jan'20,Digital Marketing,,Immediately,6000 /Month
2,29 Jan'20,Digital Marketing,Motilal Oswal,4 Months,https://internshala.com/internship/detail/digital-marketing-internship-in-mumbai-at-motilal-oswal1579091591,Mumbai,15 Jan'20,Digital Marketing,,Immediately,3000 /Week
3,19 Feb'20,Digital Marketing,MAYAPURI GROUP,3 Months,https://internshala.com/internship/detail/search-engine-optimization-seo-internship-in-delhi-at-mayapuri-group1579074213,Delhi,15 Jan'20,Search Engine Optimization (SEO),,Immediately,5000 /Month
4,19 Feb'20,Digital Marketing,MAYAPURI GROUP,3 Months,https://internshala.com/internship/detail/social-media-marketing-internship-in-delhi-at-mayapuri-group1579074147,Delhi,15 Jan'20,Social Media Marketing,,Immediately,5000 /Month
5,22 Jan'20,Digital Marketing,9X Media Private Limited,4 Months,https://internshala.com/internship/detail/social-media-marketing-internship-in-mumbai-at-9x-media-private-limited1578463632,Mumbai,8 Jan'20,Social Media Marketing,,Immediately,5000 /Month
6,25 Jan'20,Digital Marketing,Viacom India LLP,3 Months,https://internshala.com/internship/detail/digital-marketing-internship-in-gurgaon-at-viacom-india-llp1577467301,Gurgaon,30 Dec'19,Digital Marketing,,Immediately,3000 /Month
7,25 Jan'20,Digital Marketing,Viacom India LLP,2 Months,https://internshala.com/internship/detail/search-engine-optimization-seo-internship-in-delhi-gurgaon-at-viacom-india-llp1577202052,Delhi,30 Dec'19,Search Engine Optimization (SEO),,Immediately,3000-5000 /Month
8,28 Jan'20,Digital Marketing,PVR Cinemas,6 Months,https://internshala.com/internship/detail/digital-marketing-internship-in-multiple-locations-at-pvr-cinemas1577355721,Delhi,27 Dec'19,Digital Marketing,,Immediately,5000 /Month
9,2 Feb'20,Digital Marketing,Oust Labs India Private Limited,3 Months,https://internshala.com/internship/detail/social-media-marketing-internship-in-bangalore-at-oust-labs-india-private-limited1579232814,Bangalore,18 Jan'20,Social Media Marketing,,Immediately,7000 /Month
10,1 Feb'20,Digital Marketing,Make My India Online,3 Months,https://internshala.com/internship/detail/content-writing-internship-in-varanasi-at-make-my-india-online1579286195,Varanasi,18 Jan'20,Content Writing,,Immediately,2000-5000 /Month
11,1 Feb'20,Digital Marketing,Coingape,2 Months,https://internshala.com/internship/detail/social-media-marketing-internship-in-gurgaon-at-coingape1578495614,Gurgaon,18 Jan'20,Social Media Marketing,,Immediately,8000-12000 /Month
12,31 Jan'20,Digital Marketing,AnExtraRep,2 Months,https://internshala.com/internship/detail/digital-marketing-work-from-home-job-internship-at-anextrarep1579284960,Work From Home,17 Jan'20,Digital Marketing,,Immediately,5000 /Month
13,31 Jan'20,Digital Marketing,Rrootofly Online Services Private Limited,3 Months,https://internshala.com/internship/detail/social-media-marketing-internship-in-kolkata-at-rrootofly-online-services-private-limited1579284187,Kolkata,17 Jan'20,Social Media Marketing,,Immediately,7000 /Month
14,1 Feb'20,Digital Marketing,Regularhub Private Limited,2 Months,https://internshala.com/internship/detail/content-writing-work-from-home-job-internship-at-regularhub-private-limited1579155897,Work From Home,17 Jan'20,Content Writing,,Immediately,2000 /Month + Incentives
15,1 Feb'20,Digital Marketing,Smartskill Training Solutions,3 Months,https://internshala.com/internship/detail/digital-marketing-internship-in-kolkata-at-smartskill-training-solutions1579014599,Kolkata,17 Jan'20,Digital Marketing,,Immediately,7000 /Month
16,31 Jan'20,Digital Marketing,Globalisotect Technologies Private Limited,4 Months,https://internshala.com/internship/detail/social-media-marketing-internship-in-delhi-at-globalisotect-technologies-private-limited1579280459,Delhi,17 Jan'20,Social Media Marketing,,Immediately,2000 /Month
17,31 Jan'20,Digital Marketing,Ayecify,1 Month,https://internshala.com/internship/detail/content-writing-work-from-home-job-internship-at-ayecify1579277102,Work From Home,17 Jan'20,Content Writing,,Immediately,3000 /Month
18,31 Jan'20,Digital Marketing,Expohour,6 Months,https://internshala.com/internship/detail/content-writing-internship-in-jaipur-at-expohour1579271721,Jaipur,17 Jan'20,Content Writing,,Immediately,10000 /Month
19,31 Jan'20,Digital Marketing,Zero Cost Marketing,2 Months,https://internshala.com/internship/detail/digital-marketing-part-time-job-internship-at-pune-in-zero-cost-marketing1579267686,Pune,17 Jan'20,Digital Marketing,,Immediately,2000 /Month
