,Apply,Category,Company,Duration,Link,Location,Posted,Profile,Start,Stipend
0,30 Jan'20,Event Management,Viacom18 Media Private Limited,6 Months,https://internshala.com/internship/detail/event-management-internship-in-mumbai-at-viacom18-media-private-limited1578897789,Mumbai,16 Jan'20,Event Management,Immediately,5000-6000 /Month
1,29 Jan'20,Event Management,Office Of Advisor To CM,3 Weeks,https://internshala.com/internship/detail/event-management-internship-in-delhi-at-office-of-advisor-to-cm1579105867,Delhi,15 Jan'20,Event Management,Immediately,Unpaid
2,30 Jan'20,Event Management,Entertainment Network India Limited (Times Group),2 Months,https://internshala.com/internship/detail/event-management-internship-in-mumbai-at-entertainment-network-india-limited-times-group1578992224,Mumbai,15 Jan'20,Event Management,Immediately,5000 /Month
3,1 Feb'20,Event Management,Craftree Entertainment,2 Months,https://internshala.com/internship/detail/event-management-internship-in-multiple-locations-at-craftree-entertainment1579262890,Thane,17 Jan'20,Event Management,Immediately,7000 /Month + Incentives
4,1 Feb'20,Event Management,Craftree Entertainment,6 Months,https://internshala.com/internship/detail/event-management-internship-in-multiple-locations-at-craftree-entertainment1579260863,Thane,17 Jan'20,Event Management,Immediately,9000 /Month
5,31 Jan'20,Event Management,WizKlub,3 Months,https://internshala.com/internship/detail/event-management-internship-in-bangalore-at-wizklub1579255501,Bangalore,17 Jan'20,Event Management,Immediately,10000-15000 /Month
6,31 Jan'20,Event Management,Facts N Fiction Creative Studio,3 Months,https://internshala.com/internship/detail/sales-wedding-planning-internship-in-gurgaon-at-facts-n-fiction-creative-studio1579252396,Gurgaon,17 Jan'20,Sales (Wedding Planning),Immediately,5000 /Month
7,31 Jan'20,Event Management,NM Manpower Services,1 Month,https://internshala.com/internship/detail/event-management-part-time-job-internship-at-multiple-locations-in-nm-manpower-services1579247904,Noida,17 Jan'20,Event Management,Immediately,10000-20000 /Month
8,31 Jan'20,Event Management,99mag,2 Months,https://internshala.com/internship/detail/event-management-internship-in-hyderabad-at-99mag1579243116,Hyderabad,17 Jan'20,Event Management,Immediately,2000 /Month
9,20 Feb'20,Event Management,Splendid Media Private Limited,4 Months,https://internshala.com/internship/detail/event-management-marketing-part-time-job-internship-at-indore-in-splendid-media-private-limited1579194035,Indore,16 Jan'20,Event Management & Marketing,Immediately,3000-3500 /Month
