,Apply,Company,Duration,Link,Location,Posted,Profile,Start,Stipend,Tag
0,28 Jan'20,Reliance Brands Limited,6 Months,/internship/detail/fashion-consultant-internship-in-chandigarh-at-reliance-brands-limited1578993901,Chandigarh,14 Jan'20,Fashion Consultant,Immediately,18000 /Month,Fashion Design
1,18 Jan'20,Shantanu & Nikhil,6 Months,/internship/detail/fashion-consulting-internship-in-delhi-at-shantanu-nikhil1578048940,Delhi,3 Jan'20,Fashion Consulting,Immediately,10000 /Month,Fashion Design
2,1 Feb'20,Vritti Designs Private Limited,6 Months,/internship/detail/fashion-design-textile-products-part-time-job-internship-at-mumbai-in-vritti-designs-private-limited1579335215,Mumbai,18 Jan'20,Fashion Design & Textile Products,Immediately,8000 /Month,Fashion Design
3,31 Jan'20,MagicMirror Fashion,3 Months,/internship/detail/fashion-design-internship-in-mumbai-at-magicmirror-fashion1579267631,Mumbai,17 Jan'20,Fashion Design,Immediately,5000 /Month,Fashion Design
4,1 Feb'20,AMK Information Systems Pvt. Ltd.,6 Months,/internship/detail/beauty-makeup-advising-internship-in-delhi-at-amk-information-systems-pvt-ltd1579264242,Delhi,17 Jan'20,Beauty/Makeup Advising,Immediately,10000 /Month,Fashion Design
5,31 Jan'20,Nozzberry IN,4 Months,/internship/detail/fashion-design-internship-in-indore-at-nozzberry-in1579260295,Indore,17 Jan'20,Fashion Design,Immediately,4500-6000 /Month,Fashion Design
6,30 Jan'20,Orange Kids Label,3 Months,/internship/detail/fashion-design-internship-in-pune-at-orange-kids-label1579187136,Pune,16 Jan'20,Fashion Design,Immediately,5000 /Month,Fashion Design
7,30 Jan'20,Print Casual Brands Private Limited,2 Months,/internship/detail/operationsmerchandising-internship-in-noida-at-print-casual-brands-private-limited1579161573,Noida,16 Jan'20,Operations(Merchandising),Immediately,2000-3000 /Month,Fashion Design
8,20 Feb'20,Cazzkaro Brands Private Limited,6 Months,/internship/detail/fashion-design-part-time-job-internship-at-kolkata-in-cazzkaro-brands-private-limited1579156200,Kolkata,16 Jan'20,Fashion Design,1 Mar - 1 Apr'20,3500 /Month,Fashion Design
9,29 Jan'20,Abhishti,3 Months,/internship/detail/fashion-design-internship-in-delhi-at-abhishti1579081390,Delhi,15 Jan'20,Fashion Design,Immediately,5000 /Month,Fashion Design
10,29 Jan'20,Omnipotent Marketing Private Limited,5 Months,/internship/detail/fashion-design-internship-in-mumbai-at-omnipotent-marketing-private-limited1579077776,Mumbai,15 Jan'20,Fashion Design,Immediately,4000-8000 /Month,Fashion Design
