,Apply,Category,Company,Duration,Link,Location,Posted,Profile,Start,Stipend
0,25 Jan'20,Film Making,Viacom India LLP,3 Months,https://internshala.com/internship/detail/assistant-director-internship-in-gurgaon-at-viacom-india-llp1577469990,Gurgaon,30 Dec'19,Assistant Director,Immediately,3000 /Month
1,2 Feb'20,Film Making,The Quick Bowl,3 Months,https://internshala.com/internship/detail/film-production-part-time-job-internship-at-gurgaon-in-the-quick-bowl1579159205,Gurgaon,18 Jan'20,Film Production,Immediately,5000 /Month
2,29 Jan'20,Film Making,Jhansi DramaQueen,3 Months,https://internshala.com/internship/detail/video-production-part-time-job-internship-at-kolkata-in-jhansi-dramaqueen1579080839,Kolkata,15 Jan'20,Video Production,Immediately,6000 /Month
3,27 Jan'20,Film Making,CollegeTips.in,1 Month,https://internshala.com/internship/detail/film-production-internship-in-mumbai-at-collegetipsin1578921709,Mumbai,13 Jan'20,Film Production,Immediately,2000-5000 /Month
4,23 Jan'20,Film Making,Omnipotent Marketing Private Limited,6 Months,https://internshala.com/internship/detail/film-production-internship-in-mumbai-at-omnipotent-marketing-private-limited1578575317,Mumbai,9 Jan'20,Film Production,Immediately,4000-8000 /Month
5,31 Jan'20,Film Making,Visualey,6 Months,https://internshala.com/internship/detail/screenwriting-scriptwriting-internship-in-mumbai-at-visualey1578481211,Mumbai,8 Jan'20,Screenwriting/Scriptwriting,Immediately,2500 /Month
6,23 Jan'20,Film Making,Organic Cinema,3 Months,https://internshala.com/internship/detail/direction-part-time-job-internship-at-multiple-locations-in-organic-cinema1578459418,Thane,8 Jan'20,Direction,Immediately,2500-5000 /Month
7,22 Jan'20,Film Making,DraftCraft International,2 Weeks,https://internshala.com/internship/detail/film-studies-internship-in-multiple-locations-at-draftcraft-international1578317947,Hyderabad,7 Jan'20,Film Studies,Immediately,Unpaid
8,20 Jan'20,Film Making,Organic Cinema,1 Month,https://internshala.com/internship/detail/di-coloring-work-from-home-job-internship-at-organic-cinema1578314407,Work From Home,6 Jan'20,DI (Coloring),Immediately,3000-5000 /Month
9,20 Jan'20,Film Making,Chilsag Entertainment Network,1 Month,https://internshala.com/internship/detail/assistant-direction-part-time-job-internship-at-mumbai-in-chilsag-entertainment-network1578306453,Mumbai,6 Jan'20,Assistant Direction,Immediately,3000 /Month
10,18 Jan'20,Film Making,Chilla Films,3 Months,https://internshala.com/internship/detail/film-production-internship-in-bangalore-at-chilla-films1577948800,Bangalore,3 Jan'20,Film Production,Immediately,5000 /Month
