,Apply,Category,Company,Duration,Link,Location,Posted,Profile,Start,Stipend
0,28 Jan'20,Law,Xiaomi Technology India Private Limited,1 Month,https://internshala.com/internship/detail/law-legal-internship-in-bangalore-at-xiaomi-technology-india-private-limited1578995640,Bangalore,14 Jan'20,Law/ Legal,Immediately,15000 /Month
1,28 Jan'20,Law,Treebo Hotels,3 Months,https://internshala.com/internship/detail/law-legal-internship-in-bangalore-at-treebo-hotels1578987065,Bangalore,14 Jan'20,Law/ Legal,Immediately,10000 /Month
2,31 Jan'20,Law,Findoc Investmart Private Limited,6 Months,https://internshala.com/internship/detail/law-legal-internship-in-delhi-at-findoc-investmart-private-limited1579280252,Delhi,17 Jan'20,Law/ Legal,Immediately,8000-12000 /Month
3,1 Feb'20,Law,Advocate Zeenat Pirani,3 Months,https://internshala.com/internship/detail/law-legal-internship-in-mumbai-at-advocate-zeenat-pirani1579162796,Mumbai,17 Jan'20,Law/ Legal,Immediately,2000 Lump-Sum
4,31 Jan'20,Law,Vakilsearch,3 Months,https://internshala.com/internship/detail/law-legal-internship-in-chennai-at-vakilsearch1579257986,Chennai,17 Jan'20,Law/ Legal,Immediately,6000-10000 /Month
5,31 Jan'20,Law,International Justice Mission,2 Months,https://internshala.com/internship/detail/law-legal-internship-in-delhi-at-international-justice-mission1579252558,Delhi,17 Jan'20,Law/ Legal,Immediately,Unpaid
6,31 Jan'20,Law,Bandaru And Bandaru Advocates,1 Month,https://internshala.com/internship/detail/law-legal-internship-in-bangalore-at-bandaru-and-bandaru-advocates1578557504,Bangalore,16 Jan'20,Law/ Legal,Immediately,Unpaid
7,30 Jan'20,Law,Integreon,1 Month,https://internshala.com/internship/detail/law-legal-part-time-job-internship-at-mumbai-in-integreon1579173787,Mumbai,16 Jan'20,Law/ Legal,Immediately,20000 /Month
8,31 Jan'20,Law,Indian Society Of Artificial Intelligence And Law,1 Month,https://internshala.com/internship/detail/law-legal-work-from-home-job-internship-at-indian-society-of-artificial-intelligence-and-law1578985014,Work From Home,16 Jan'20,Law/ Legal,Immediately,Unpaid
9,30 Jan'20,Law,Consumers Congress,6 Months,https://internshala.com/internship/detail/law-legal-internship-in-delhi-at-consumers-congress1579160729,Delhi,16 Jan'20,Law/ Legal,Immediately,5000-5500 /Month
10,31 Jan'20,Law,Anmol Jha & Associates,6 Months,https://internshala.com/internship/detail/law-legal-part-time-job-internship-at-indore-in-anmol-jha-associates1579073833,Indore,16 Jan'20,Law/ Legal,Immediately,1000-2000 /Month
11,31 Jan'20,Law,Jilian Consultants India Private Limited,6 Months,https://internshala.com/internship/detail/law-legal-internship-in-gurgaon-at-jilian-consultants-india-private-limited1579072727,Gurgaon,16 Jan'20,Law/ Legal,Immediately,10000 /Month
12,30 Jan'20,Law,Empliance Information Services India LLP,6 Months,https://internshala.com/internship/detail/law-legal-internship-in-mumbai-at-empliance-information-services-india-llp1579159225,Mumbai,16 Jan'20,Law/ Legal,Immediately,5000-10000 /Month
13,31 Jan'20,Law,Flying Stone India Film Production Services,1 Month,https://internshala.com/internship/detail/law-legal-internship-in-mumbai-at-flying-stone-india-film-production-services1579074782,Mumbai,16 Jan'20,Law/ Legal,Immediately,2000 /Month
14,31 Jan'20,Law,Anushree Dixit,6 Months,https://internshala.com/internship/detail/law-legal-internship-in-nashik-at-anushree-dixit1579148796,Nashik,16 Jan'20,Law/ Legal,Immediately,5000 /Month
15,30 Jan'20,Law,Bathiya Legal,6 Months,https://internshala.com/internship/detail/law-legal-part-time-job-internship-at-delhi-in-bathiya-legal1578954120,Delhi,15 Jan'20,Law/ Legal,Immediately,4000 /Month
16,30 Jan'20,Law,Peritia Law Chambers,2 Months,https://internshala.com/internship/detail/law-legal-part-time-job-internship-at-delhi-gurgaon-in-peritia-law-chambers1578993507,Delhi,15 Jan'20,Law/ Legal,Immediately,Unpaid
17,30 Jan'20,Law,Chilsag Entertainment Network,1 Month,https://internshala.com/internship/detail/law-legal-part-time-job-internship-at-mumbai-in-chilsag-entertainment-network1578919072,Mumbai,15 Jan'20,Law/ Legal,Immediately,2000 /Month
18,29 Jan'20,Law,Hamari Pahchan NGO,2 Months,https://internshala.com/internship/detail/law-legal-internship-in-delhi-at-hamari-pahchan-ngo1579072511,Delhi,15 Jan'20,Law/ Legal,Immediately,10000-12000 /Month
19,30 Jan'20,Law,Jus Dicere,1 Month,https://internshala.com/internship/detail/law-legal-work-from-home-job-internship-at-jus-dicere1578931700,Work From Home,15 Jan'20,Law/ Legal,Immediately,15000 /Month
20,29 Jan'20,Law,Treelife Consulting,3 Months,https://internshala.com/internship/detail/law-legal-part-time-job-internship-at-mumbai-in-treelife-consulting1579070847,Mumbai,15 Jan'20,Law/ Legal,Immediately,4000 /Month
21,30 Jan'20,Law,Remmedium Associates,3 Months,https://internshala.com/internship/detail/law-legal-internship-in-greater-noida-at-remmedium-associates1578913017,Greater Noida,15 Jan'20,Law/ Legal,Immediately,Unpaid
22,29 Jan'20,Law,DigiVerifi Private Limited,3 Months,https://internshala.com/internship/detail/research-analysis-internship-in-noida-delhi-at-digiverifi-private-limited1579000135,Noida,14 Jan'20,Research Analysis,Immediately,10000-18000 /Month
23,29 Jan'20,Law,Wasi Structures Private Limited,6 Months,https://internshala.com/internship/detail/law-legal-part-time-job-internship-at-bangalore-in-wasi-structures-private-limited1578806588,Bangalore,14 Jan'20,Law/ Legal,Immediately,2000 /Month
