,Apply,Category,Company,Duration,Link,Location,Posted,Profile,Start,Stipend
0,31 Jan'20,Legal Research,Bandaru And Bandaru Advocates,1 Month,https://internshala.com/internship/detail/law-legal-internship-in-bangalore-at-bandaru-and-bandaru-advocates1578557504,Bangalore,16 Jan'20,Law/ Legal,Immediately,Unpaid
1,30 Jan'20,Legal Research,Bathiya Legal,6 Months,https://internshala.com/internship/detail/law-legal-part-time-job-internship-at-delhi-in-bathiya-legal1578954120,Delhi,15 Jan'20,Law/ Legal,Immediately,4000 /Month
2,29 Jan'20,Legal Research,DigiVerifi Private Limited,3 Months,https://internshala.com/internship/detail/research-analysis-internship-in-noida-delhi-at-digiverifi-private-limited1579000135,Noida,14 Jan'20,Research Analysis,Immediately,10000-18000 /Month
3,28 Jan'20,Legal Research,Vivek Sheel,3 Months,https://internshala.com/internship/detail/law-legal-internship-in-delhi-at-vivek-sheel1578478986,Delhi,13 Jan'20,Law/ Legal,Immediately,5000 /Month
4,28 Jan'20,Legal Research,Vaidat Legale Services,1 Month,https://internshala.com/internship/detail/law-legal-internship-in-delhi-at-vaidat-legale-services1578570701,Delhi,13 Jan'20,Law/ Legal,Immediately,1000-4000 /Month
5,25 Jan'20,Legal Research,Advocate Anand Duggal,6 Months,https://internshala.com/internship/detail/law-legal-internship-in-delhi-at-advocate-anand-duggal1578460382,Delhi,10 Jan'20,Law/ Legal,Immediately,2000 /Month
6,24 Jan'20,Legal Research,Rakshak Foundation,2 Months,https://internshala.com/internship/detail/public-policy-research-internship-in-lucknow-ranchi-at-rakshak-foundation1578628795,Lucknow,10 Jan'20,Public Policy Research,Immediately,10000 Lump-Sum
7,24 Jan'20,Legal Research,India Juris,2 Months,https://internshala.com/internship/detail/law-legal-internship-in-mumbai-at-india-juris1578394660,Mumbai,9 Jan'20,Law/ Legal,Immediately,5000 /Month
8,24 Jan'20,Legal Research,Bucket List Travel,2 Months,https://internshala.com/internship/detail/law-legal-work-from-home-job-internship-at-bucket-list-travel1578451940,Work From Home,9 Jan'20,Law/ Legal,Immediately,8000 /Month
9,24 Jan'20,Legal Research,S.B. Jain And Associates,2 Months,https://internshala.com/internship/detail/law-legal-internship-in-delhi-at-sb-jain-and-associates1578222814,Delhi,9 Jan'20,Law/ Legal,1 Mar - 31 Mar'20,Unpaid
10,22 Jan'20,Legal Research,Law Bank,2 Months,https://internshala.com/internship/detail/content-writing-general-studies-current-affairs-part-time-job-internship-at-multiple-locations-in-law-bank1578496343,Noida,8 Jan'20,Content Writing (General Studies & Current Affairs),Immediately,10000-12000 /Month
11,23 Jan'20,Legal Research,FutureSwift,4 Months,https://internshala.com/internship/detail/law-legal-work-from-home-job-internship-at-futureswift1577814635,Work From Home,8 Jan'20,Law/ Legal,Immediately,Unpaid
