,Apply,Company,Duration,Link,Location,Posted,Profile,Rewards,Start,Stipend,Tag
0,1 Feb'20,Error Technologies,3 Months,/internship/detail/digital-marketing-internship-in-hyderabad-at-error-technologies1579336242,Hyderabad,18 Jan'20,Digital Marketing,,Immediately,4000 /Month,MBA
1,1 Feb'20,Peritus Infotech Private Limited,6 Months,/internship/detail/human-resources-hr-internship-in-noida-at-peritus-infotech-private-limited1579336165,Noida,18 Jan'20,Human Resources (HR),,Immediately,12000-18000 /Month,MBA
2,1 Feb'20,Qogent Learning Solutions Private Limited,3 Months,/internship/detail/operations-internship-in-bangalore-at-qogent-learning-solutions-private-limited1579336113,Bangalore,18 Jan'20,Operations,,Immediately,10000 /Month,MBA
3,1 Feb'20,Decathlon Sport India Private Limited,3 Months,/internship/detail/customer-service-internship-in-bangalore-at-decathlon-sport-india-private-limited1579335920,Bangalore,18 Jan'20,Customer Service,,Immediately,7000 /Month,MBA
4,1 Feb'20,Plunes Technologies Private Limited,2 Months,/internship/detail/business-development-sales-internship-in-gurgaon-at-plunes-technologies-private-limited1579335834,Gurgaon,18 Jan'20,Business Development (Sales),,Immediately,15000 /Month,MBA
5,1 Feb'20,Pix Brand Private Limited,3 Months,/internship/detail/business-development-sales-internship-in-indore-at-pix-brand-private-limited1579335467,Indore,18 Jan'20,Business Development (Sales),,Immediately,5000-6000 /Month,MBA
6,1 Feb'20,Vritti Designs Private Limited,6 Months,/internship/detail/social-media-marketing-internship-in-mumbai-at-vritti-designs-private-limited1579335238,Mumbai,18 Jan'20,Social Media Marketing,,Immediately,6000 /Month,MBA
7,1 Feb'20,Creatorshala,2 Months,/internship/detail/operations-internship-in-delhi-at-creatorshala1579335232,Delhi,18 Jan'20,Operations,,Immediately,2000-5000 /Month,MBA
8,1 Feb'20,Vritti Designs Private Limited,6 Months,/internship/detail/digital-marketing-internship-in-mumbai-at-vritti-designs-private-limited1579335221,Mumbai,18 Jan'20,Digital Marketing,,Immediately,6000 /Month,MBA
9,1 Feb'20,Creatorshala,3 Months,/internship/detail/marketing-work-from-home-job-internship-at-creatorshala1579335216,Work From Home,18 Jan'20,Marketing,,Immediately,2000-5000 /Month,MBA
10,1 Feb'20,Creatorshala,3 Months,/internship/detail/digital-marketing-work-from-home-job-internship-at-creatorshala1579335213,Work From Home,18 Jan'20,Digital Marketing,,Immediately,2000-5000 /Month,MBA
11,1 Feb'20,Creatorshala,3 Months,/internship/detail/business-development-sales-internship-in-multiple-locations-at-creatorshala1579335210,Delhi,18 Jan'20,Business Development (Sales),,Immediately,4000 /Month +  Incentives,MBA
12,1 Feb'20,Vritti Designs Private Limited,6 Months,/internship/detail/content-writing-work-from-home-job-internship-at-vritti-designs-private-limited1579335199,Work From Home,18 Jan'20,Content Writing,,Immediately,6000 /Month,MBA
13,1 Feb'20,Vritti Designs Private Limited,6 Months,/internship/detail/operations-internship-in-mumbai-at-vritti-designs-private-limited1579335191,Mumbai,18 Jan'20,Operations,,Immediately,7000 /Month,MBA
14,1 Feb'20,Vritti Designs Private Limited,6 Months,/internship/detail/marketing-internship-in-mumbai-at-vritti-designs-private-limited1579335179,Mumbai,18 Jan'20,Marketing,,Immediately,6000 /Month,MBA
15,1 Feb'20,Mirus Solutions Private Limited,2 Months,/internship/detail/marketing-internship-in-delhi-at-mirus-solutions-private-limited1579335134,Delhi,18 Jan'20,Marketing,,Immediately,5000 /Month,MBA
16,1 Feb'20,Paytoways,3 Months,/internship/detail/digital-marketing-internship-in-hyderabad-at-paytoways1579334845,Hyderabad,18 Jan'20,Digital Marketing,,Immediately,5000-8000 /Month,MBA
17,1 Feb'20,Mirus Solutions Private Limited,2 Months,/internship/detail/human-resources-hr-internship-in-delhi-at-mirus-solutions-private-limited1579334803,Delhi,18 Jan'20,Human Resources (HR),,Immediately,5000 /Month,MBA
18,1 Feb'20,Paytoways,3 Months,/internship/detail/content-writing-internship-in-hyderabad-at-paytoways1579334795,Hyderabad,18 Jan'20,Content Writing,,Immediately,5000-8000 /Month,MBA
19,1 Feb'20,Smart Investor Financial Services,3 Months,/internship/detail/digital-marketing-internship-in-hyderabad-at-smart-investor-financial-services1579334540,Hyderabad,18 Jan'20,Digital Marketing,,Immediately,5000 /Month,MBA
