,Apply,Company,Duration,Link,Location,Posted,Profile,Rewards,Start,Stipend,Tag
0,31 Jan'20,Sudarshan TV Channel Private Limited,3 Months,/internship/detail/digital-marketing-internship-in-noida-at-sudarshan-tv-channel-private-limited1579241313,Noida,17 Jan'20,Digital Marketing,,Immediately,2000-5000 /Month,Marketing
1,31 Jan'20,FirstCry.com,4 Months,/internship/detail/digital-marketing-internship-in-pune-at-firstcrycom1579234454,Pune,17 Jan'20,Digital Marketing,,Immediately,6000 /Month,Marketing
2,29 Jan'20,Motilal Oswal,4 Months,/internship/detail/digital-marketing-internship-in-mumbai-at-motilal-oswal1579091591,Mumbai,15 Jan'20,Digital Marketing,,Immediately,3000 /Week,Marketing
3,19 Feb'20,MAYAPURI GROUP,3 Months,/internship/detail/search-engine-optimization-seo-internship-in-delhi-at-mayapuri-group1579074213,Delhi,15 Jan'20,Search Engine Optimization (SEO),,Immediately,5000 /Month,Marketing
4,19 Feb'20,MAYAPURI GROUP,3 Months,/internship/detail/social-media-marketing-internship-in-delhi-at-mayapuri-group1579074147,Delhi,15 Jan'20,Social Media Marketing,,Immediately,5000 /Month,Marketing
5,22 Jan'20,9X Media Private Limited,4 Months,/internship/detail/social-media-marketing-internship-in-mumbai-at-9x-media-private-limited1578463632,Mumbai,8 Jan'20,Social Media Marketing,,Immediately,5000 /Month,Marketing
6,25 Jan'20,Viacom India LLP,3 Months,/internship/detail/digital-marketing-internship-in-gurgaon-at-viacom-india-llp1577467301,Gurgaon,30 Dec'19,Digital Marketing,,Immediately,3000 /Month,Marketing
7,25 Jan'20,Viacom India LLP,2 Months,/internship/detail/search-engine-optimization-seo-internship-in-delhi-gurgaon-at-viacom-india-llp1577202052,Delhi,30 Dec'19,Search Engine Optimization (SEO),,Immediately,3000-5000 /Month,Marketing
8,28 Jan'20,PVR Cinemas,6 Months,/internship/detail/digital-marketing-internship-in-multiple-locations-at-pvr-cinemas1577355721,Delhi,27 Dec'19,Digital Marketing,,Immediately,5000 /Month,Marketing
9,1 Feb'20,Error Technologies,3 Months,/internship/detail/digital-marketing-internship-in-hyderabad-at-error-technologies1579336242,Hyderabad,18 Jan'20,Digital Marketing,,Immediately,4000 /Month,Marketing
10,1 Feb'20,Vritti Designs Private Limited,6 Months,/internship/detail/social-media-marketing-internship-in-mumbai-at-vritti-designs-private-limited1579335238,Mumbai,18 Jan'20,Social Media Marketing,,Immediately,6000 /Month,Marketing
11,1 Feb'20,Vritti Designs Private Limited,6 Months,/internship/detail/digital-marketing-internship-in-mumbai-at-vritti-designs-private-limited1579335221,Mumbai,18 Jan'20,Digital Marketing,,Immediately,6000 /Month,Marketing
12,1 Feb'20,Creatorshala,3 Months,/internship/detail/digital-marketing-work-from-home-job-internship-at-creatorshala1579335213,Work From Home,18 Jan'20,Digital Marketing,,Immediately,2000-5000 /Month,Marketing
13,1 Feb'20,Vritti Designs Private Limited,6 Months,/internship/detail/content-writing-work-from-home-job-internship-at-vritti-designs-private-limited1579335199,Work From Home,18 Jan'20,Content Writing,,Immediately,6000 /Month,Marketing
14,1 Feb'20,Paytoways,3 Months,/internship/detail/digital-marketing-internship-in-hyderabad-at-paytoways1579334845,Hyderabad,18 Jan'20,Digital Marketing,,Immediately,5000-8000 /Month,Marketing
15,1 Feb'20,Paytoways,3 Months,/internship/detail/content-writing-internship-in-hyderabad-at-paytoways1579334795,Hyderabad,18 Jan'20,Content Writing,,Immediately,5000-8000 /Month,Marketing
16,1 Feb'20,Smart Investor Financial Services,3 Months,/internship/detail/digital-marketing-internship-in-hyderabad-at-smart-investor-financial-services1579334540,Hyderabad,18 Jan'20,Digital Marketing,,Immediately,5000 /Month,Marketing
17,1 Feb'20,Complay Digital Media Private Limited,2 Months,/internship/detail/digital-marketing-work-from-home-job-internship-at-complay-digital-media-private-limited1579334224,Work From Home,18 Jan'20,Digital Marketing,,Immediately,2000-6000 /Month,Marketing
18,1 Feb'20,Phixman Technologies Private Limited,3 Months,/internship/detail/digital-marketing-internship-in-delhi-dwarka-at-phixman-technologies-private-limited1579333933,Delhi,18 Jan'20,Digital Marketing,,Immediately,7000-9000 /Month,Marketing
19,1 Feb'20,Flipside Media Works,3 Months,/internship/detail/social-media-marketing-internship-in-mumbai-at-flipside-media-works1579332889,Mumbai,18 Jan'20,Social Media Marketing,,Immediately,8000-12000 /Month,Marketing
20,1 Feb'20,VAYUZ Technologies,6 Months,/internship/detail/digital-marketing-work-from-home-job-internship-at-vayuz-technologies1579332500,Work From Home,18 Jan'20,Digital Marketing,,Immediately,6000-8000 /Month,Marketing
21,2 Feb'20,Registration Arena,6 Months,/internship/detail/content-writing-internship-in-kasarwadi-at-registration-arena1579179203,Kasarwadi,18 Jan'20,Content Writing,,Immediately,6000-10000 /Month,Marketing
22,1 Feb'20,J D Jones & Company Private Limited,6 Months,/internship/detail/digital-marketing-internship-in-kolkata-at-j-d-jones-company-private-limited1579330824,Kolkata,18 Jan'20,Digital Marketing,,Immediately,10000 /Month,Marketing
23,1 Feb'20,CDIGIMEDIA TECHNOLOGIES,1 Month,/internship/detail/digital-marketing-internship-in-ghaziabad-at-cdigimedia-technologies1579330358,Ghaziabad,18 Jan'20,Digital Marketing,,Immediately,4000 /Month,Marketing
24,2 Feb'20,Millionsclicks.com,3 Months,/internship/detail/social-media-marketing-work-from-home-job-internship-at-millionsclickscom1579174314,Work From Home,18 Jan'20,Social Media Marketing,,Immediately,2000 /Month +  Incentives,Marketing
25,1 Feb'20,Wynbee,3 Months,/internship/detail/social-media-marketing-internship-in-mumbai-at-wynbee1579330185,Mumbai,18 Jan'20,Social Media Marketing,,Immediately,5000-10000 /Month,Marketing
26,1 Feb'20,Beyonder Experiences LLP,3 Months,/internship/detail/social-media-marketing-part-time-job-internship-at-bangalore-in-beyonder-experiences-llp1579329649,Bangalore,18 Jan'20,Social Media Marketing,,Immediately,6000 /Month,Marketing
27,1 Feb'20,Beyonder Experiences LLP,3 Months,/internship/detail/content-writing-part-time-job-internship-at-bangalore-in-beyonder-experiences-llp1579329617,Bangalore,18 Jan'20,Content Writing,,Immediately,6000 /Month,Marketing
28,1 Feb'20,Web Solutions World,6 Months,/internship/detail/digital-marketing-work-from-home-job-internship-at-web-solutions-world1579329608,Work From Home,18 Jan'20,Digital Marketing,,Immediately,10000 /Month,Marketing
29,2 Feb'20,Easofy.com,6 Months,/internship/detail/search-engine-optimization-seo-internship-in-noida-at-easofycom1579329024,Noida,18 Jan'20,Search Engine Optimization (SEO),,Immediately,5000-7000 /Month,Marketing
30,1 Feb'20,India Infotech,2 Months,/internship/detail/digital-marketing-internship-in-indore-at-india-infotech1579329009,Indore,18 Jan'20,Digital Marketing,,Immediately,6000 /Month,Marketing
31,1 Feb'20,MiStay,2 Months,/internship/detail/content-writing-internship-in-bangalore-at-mistay1579328726,Bangalore,18 Jan'20,Content Writing,,Immediately,10000 /Month,Marketing
32,1 Feb'20,Voice Of Healthcare,3 Months,/internship/detail/digital-marketing-internship-in-gurgaon-at-voice-of-healthcare1579328666,Gurgaon,18 Jan'20,Digital Marketing,,Immediately,8000 /Month,Marketing
33,1 Feb'20,Klikk,6 Months,/internship/detail/social-media-marketing-internship-in-gurgaon-delhi-at-klikk1579328640,Gurgaon,18 Jan'20,Social Media Marketing,,Immediately,5000 /Month,Marketing
34,1 Feb'20,TimesNext Media Private Limited,3 Months,/internship/detail/content-writing-internship-in-mohali-at-timesnext-media-private-limited1579327985,Mohali,18 Jan'20,Content Writing,,Immediately,15000 /Month,Marketing
35,1 Feb'20,Antino Labs,6 Months,/internship/detail/digital-marketing-internship-in-gurgaon-at-antino-labs1579327848,Gurgaon,18 Jan'20,Digital Marketing,,Immediately,10000-20000 /Month,Marketing
36,15 Feb'20,Brahmā’s Production Private Limited,3 Months,/internship/detail/content-writing-internship-in-mumbai-at-brahms-production-private-limited1579327619,Mumbai,18 Jan'20,Content Writing,,Immediately,5000-6000 /Month,Marketing
37,15 Feb'20,Brahmā’s Production Private Limited,3 Months,/internship/detail/social-media-marketing-internship-in-mumbai-at-brahms-production-private-limited1579327164,Mumbai,18 Jan'20,Social Media Marketing,,Immediately,3000-5000 /Month,Marketing
38,1 Feb'20,Tetrahedron Manufacturing Services,3 Months,/internship/detail/email-marketing-internship-in-delhi-at-tetrahedron-manufacturing-services1579326863,Delhi,18 Jan'20,Email Marketing,,Immediately,3000-5000 /Month,Marketing
39,2 Feb'20,RoboVR,2 Months,/internship/detail/social-media-marketing-part-time-job-internship-at-mumbai-in-robovr1579176531,Mumbai,18 Jan'20,Social Media Marketing,,Immediately,2000 /Month,Marketing
40,31 Jan'20,Sudarshan TV Channel Private Limited,3 Months,/internship/detail/digital-marketing-internship-in-noida-at-sudarshan-tv-channel-private-limited1579241313,Noida,17 Jan'20,Digital Marketing,,Immediately,2000-5000 /Month,Marketing
41,31 Jan'20,FirstCry.com,4 Months,/internship/detail/digital-marketing-internship-in-pune-at-firstcrycom1579234454,Pune,17 Jan'20,Digital Marketing,,Immediately,6000 /Month,Marketing
42,29 Jan'20,Motilal Oswal,4 Months,/internship/detail/digital-marketing-internship-in-mumbai-at-motilal-oswal1579091591,Mumbai,15 Jan'20,Digital Marketing,,Immediately,3000 /Week,Marketing
43,19 Feb'20,MAYAPURI GROUP,3 Months,/internship/detail/search-engine-optimization-seo-internship-in-delhi-at-mayapuri-group1579074213,Delhi,15 Jan'20,Search Engine Optimization (SEO),,Immediately,5000 /Month,Marketing
44,19 Feb'20,MAYAPURI GROUP,3 Months,/internship/detail/social-media-marketing-internship-in-delhi-at-mayapuri-group1579074147,Delhi,15 Jan'20,Social Media Marketing,,Immediately,5000 /Month,Marketing
45,22 Jan'20,9X Media Private Limited,4 Months,/internship/detail/social-media-marketing-internship-in-mumbai-at-9x-media-private-limited1578463632,Mumbai,8 Jan'20,Social Media Marketing,,Immediately,5000 /Month,Marketing
46,25 Jan'20,Viacom India LLP,3 Months,/internship/detail/digital-marketing-internship-in-gurgaon-at-viacom-india-llp1577467301,Gurgaon,30 Dec'19,Digital Marketing,,Immediately,3000 /Month,Marketing
47,25 Jan'20,Viacom India LLP,2 Months,/internship/detail/search-engine-optimization-seo-internship-in-delhi-gurgaon-at-viacom-india-llp1577202052,Delhi,30 Dec'19,Search Engine Optimization (SEO),,Immediately,3000-5000 /Month,Marketing
48,28 Jan'20,PVR Cinemas,6 Months,/internship/detail/digital-marketing-internship-in-multiple-locations-at-pvr-cinemas1577355721,Delhi,27 Dec'19,Digital Marketing,,Immediately,5000 /Month,Marketing
49,1 Feb'20,Error Technologies,3 Months,/internship/detail/digital-marketing-internship-in-hyderabad-at-error-technologies1579336242,Hyderabad,18 Jan'20,Digital Marketing,,Immediately,4000 /Month,Marketing
50,1 Feb'20,Vritti Designs Private Limited,6 Months,/internship/detail/social-media-marketing-internship-in-mumbai-at-vritti-designs-private-limited1579335238,Mumbai,18 Jan'20,Social Media Marketing,,Immediately,6000 /Month,Marketing
51,1 Feb'20,Vritti Designs Private Limited,6 Months,/internship/detail/digital-marketing-internship-in-mumbai-at-vritti-designs-private-limited1579335221,Mumbai,18 Jan'20,Digital Marketing,,Immediately,6000 /Month,Marketing
52,1 Feb'20,Creatorshala,3 Months,/internship/detail/digital-marketing-work-from-home-job-internship-at-creatorshala1579335213,Work From Home,18 Jan'20,Digital Marketing,,Immediately,2000-5000 /Month,Marketing
53,1 Feb'20,Vritti Designs Private Limited,6 Months,/internship/detail/content-writing-work-from-home-job-internship-at-vritti-designs-private-limited1579335199,Work From Home,18 Jan'20,Content Writing,,Immediately,6000 /Month,Marketing
54,1 Feb'20,Paytoways,3 Months,/internship/detail/digital-marketing-internship-in-hyderabad-at-paytoways1579334845,Hyderabad,18 Jan'20,Digital Marketing,,Immediately,5000-8000 /Month,Marketing
55,1 Feb'20,Paytoways,3 Months,/internship/detail/content-writing-internship-in-hyderabad-at-paytoways1579334795,Hyderabad,18 Jan'20,Content Writing,,Immediately,5000-8000 /Month,Marketing
56,1 Feb'20,Smart Investor Financial Services,3 Months,/internship/detail/digital-marketing-internship-in-hyderabad-at-smart-investor-financial-services1579334540,Hyderabad,18 Jan'20,Digital Marketing,,Immediately,5000 /Month,Marketing
57,1 Feb'20,Complay Digital Media Private Limited,2 Months,/internship/detail/digital-marketing-work-from-home-job-internship-at-complay-digital-media-private-limited1579334224,Work From Home,18 Jan'20,Digital Marketing,,Immediately,2000-6000 /Month,Marketing
58,1 Feb'20,Phixman Technologies Private Limited,3 Months,/internship/detail/digital-marketing-internship-in-delhi-dwarka-at-phixman-technologies-private-limited1579333933,Delhi,18 Jan'20,Digital Marketing,,Immediately,7000-9000 /Month,Marketing
59,1 Feb'20,Flipside Media Works,3 Months,/internship/detail/social-media-marketing-internship-in-mumbai-at-flipside-media-works1579332889,Mumbai,18 Jan'20,Social Media Marketing,,Immediately,8000-12000 /Month,Marketing
60,1 Feb'20,VAYUZ Technologies,6 Months,/internship/detail/digital-marketing-work-from-home-job-internship-at-vayuz-technologies1579332500,Work From Home,18 Jan'20,Digital Marketing,,Immediately,6000-8000 /Month,Marketing
61,2 Feb'20,Registration Arena,6 Months,/internship/detail/content-writing-internship-in-kasarwadi-at-registration-arena1579179203,Kasarwadi,18 Jan'20,Content Writing,,Immediately,6000-10000 /Month,Marketing
62,1 Feb'20,J D Jones & Company Private Limited,6 Months,/internship/detail/digital-marketing-internship-in-kolkata-at-j-d-jones-company-private-limited1579330824,Kolkata,18 Jan'20,Digital Marketing,,Immediately,10000 /Month,Marketing
63,1 Feb'20,CDIGIMEDIA TECHNOLOGIES,1 Month,/internship/detail/digital-marketing-internship-in-ghaziabad-at-cdigimedia-technologies1579330358,Ghaziabad,18 Jan'20,Digital Marketing,,Immediately,4000 /Month,Marketing
64,2 Feb'20,Millionsclicks.com,3 Months,/internship/detail/social-media-marketing-work-from-home-job-internship-at-millionsclickscom1579174314,Work From Home,18 Jan'20,Social Media Marketing,,Immediately,2000 /Month +  Incentives,Marketing
65,1 Feb'20,Wynbee,3 Months,/internship/detail/social-media-marketing-internship-in-mumbai-at-wynbee1579330185,Mumbai,18 Jan'20,Social Media Marketing,,Immediately,5000-10000 /Month,Marketing
66,1 Feb'20,Beyonder Experiences LLP,3 Months,/internship/detail/social-media-marketing-part-time-job-internship-at-bangalore-in-beyonder-experiences-llp1579329649,Bangalore,18 Jan'20,Social Media Marketing,,Immediately,6000 /Month,Marketing
67,1 Feb'20,Beyonder Experiences LLP,3 Months,/internship/detail/content-writing-part-time-job-internship-at-bangalore-in-beyonder-experiences-llp1579329617,Bangalore,18 Jan'20,Content Writing,,Immediately,6000 /Month,Marketing
68,1 Feb'20,Web Solutions World,6 Months,/internship/detail/digital-marketing-work-from-home-job-internship-at-web-solutions-world1579329608,Work From Home,18 Jan'20,Digital Marketing,,Immediately,10000 /Month,Marketing
69,2 Feb'20,Easofy.com,6 Months,/internship/detail/search-engine-optimization-seo-internship-in-noida-at-easofycom1579329024,Noida,18 Jan'20,Search Engine Optimization (SEO),,Immediately,5000-7000 /Month,Marketing
70,1 Feb'20,India Infotech,2 Months,/internship/detail/digital-marketing-internship-in-indore-at-india-infotech1579329009,Indore,18 Jan'20,Digital Marketing,,Immediately,6000 /Month,Marketing
71,1 Feb'20,MiStay,2 Months,/internship/detail/content-writing-internship-in-bangalore-at-mistay1579328726,Bangalore,18 Jan'20,Content Writing,,Immediately,10000 /Month,Marketing
