,Apply,Company,Duration,Link,Location,Posted,Profile,Start,Stipend,Tag
0,30 Jan'20,InventGrid India Private Limited,6 Months,/internship/detail/drone-pilot-part-time-job-internship-at-bhubaneswar-in-inventgrid-india-private-limited1579115359,Bhubaneswar,16 Jan'20,Drone Pilot,Immediately,5000-10000 /Month,Mechatronics
1,30 Jan'20,G P Consulting,6 Months,/internship/detail/robotics-lab-teaching-internship-in-borivali-at-g-p-consulting1579068184,Borivali,15 Jan'20,Robotics Lab Teaching,Immediately,10000 /Month,Mechatronics
2,29 Jan'20,BoticX Labs,6 Months,/internship/detail/robotics-process-automation-internship-in-noida-at-boticx-labs1579065975,Noida,15 Jan'20,Robotics Process Automation,Immediately,7000 /Month,Mechatronics
3,29 Jan'20,Ignited Mind Educational Services,6 Months,/internship/detail/robotics-part-time-job-internship-at-coimbatore-in-ignited-mind-educational-services1578757289,Coimbatore,14 Jan'20,Robotics,Immediately,5000 /Month,Mechatronics
4,29 Jan'20,SP Robotics Works,6 Months,/internship/detail/robotics-internship-in-hyderabad-at-sp-robotics-works1578747047,Hyderabad,14 Jan'20,Robotics,Immediately,10000 /Month,Mechatronics
5,24 Jan'20,Applied Research And Development Laboratories Private Limited,4 Months,/internship/detail/designing-manufacturing-mechatronics-internship-in-bangalore-at-applied-research-and-development-laboratories-private-limited1578552202,Bangalore,9 Jan'20,Designing & Manufacturing (mechatronics),Immediately,12000 /Month,Mechatronics
6,23 Jan'20,Wingfotech Private Limited,4 Months,/internship/detail/research-engineering-robotics-internship-in-delhi-at-wingfotech-private-limited1578481107,Delhi,8 Jan'20,Research Engineering (Robotics),Immediately,5000-8000 /Month,Mechatronics
7,23 Jan'20,Novation Hub Private Limited,3 Months,/internship/detail/teaching-robotics-stem-internship-in-multiple-locations-at-novation-hub-private-limited1578463396,Dehradun,8 Jan'20,Teaching (Robotics/STEM),Immediately,8000-10000 /Month,Mechatronics
8,18 Jan'20,Brad Contech Solutions Private Limited,1 Month,/internship/detail/rpa-uipath-internship-in-hyderabad-at-brad-contech-solutions-private-limited1577951333,Hyderabad,3 Jan'20,RPA - UIPath,Immediately,2000-3000 /Month,Mechatronics
9,2 Feb'20,WEBITOL SOLUTIONS,2 Months,/internship/detail/robotics-electronics-internship-in-multiple-locations-at-webitol-solutions1577768653,Chennai,31 Dec'19,Robotics & Electronics,Immediately,11000 /Month,Mechatronics
10,31 Jan'20,EZ Lock,6 Months,/internship/detail/teaching-robotics-internship-in-mumbai-at-ez-lock1577623228,Mumbai,29 Dec'19,Teaching (Robotics),Immediately,12000-18000 /Month,Mechatronics
11,27 Jan'20,The Solar Labs,6 Months,/internship/detail/pv-engineering-internship-in-noida-at-the-solar-labs1577086895,Noida,23 Dec'19,PV Engineering,Immediately,8000-15000 /Month,Mechatronics
12,22 Jan'20,Feat Systems Private Limited,3 Months,/internship/detail/robotic-process-automation-internship-in-mumbai-bangalore-at-feat-systems-private-limited1576242515,Mumbai,17 Dec'19,Robotic Process Automation,Immediately,2000 /Month +  Incentives,Mechatronics
13,21 Jan'20,​ SoftInWay Turbomachinery Solutions Private Limited,6 Months,/internship/detail/rotordynamics-engineering-internship-in-bangalore-at--softinway-turbomachinery-solutions-private-limited1576472383,Bangalore,16 Dec'19,Rotordynamics Engineering,Immediately,3000 /Month,Mechatronics
14,30 Jan'20,InventGrid India Private Limited,6 Months,/internship/detail/drone-pilot-part-time-job-internship-at-bhubaneswar-in-inventgrid-india-private-limited1579115359,Bhubaneswar,16 Jan'20,Drone Pilot,Immediately,5000-10000 /Month,Mechatronics
15,30 Jan'20,G P Consulting,6 Months,/internship/detail/robotics-lab-teaching-internship-in-borivali-at-g-p-consulting1579068184,Borivali,15 Jan'20,Robotics Lab Teaching,Immediately,10000 /Month,Mechatronics
16,29 Jan'20,BoticX Labs,6 Months,/internship/detail/robotics-process-automation-internship-in-noida-at-boticx-labs1579065975,Noida,15 Jan'20,Robotics Process Automation,Immediately,7000 /Month,Mechatronics
