,Apply,Company,Duration,Link,Location,Posted,Profile,Rewards,Start,Stipend,Tag
0,30 Jan'20,"Srijan, IIT (ISM) Dhanbad.",3 Weeks,/internship/detail/campus-ambassador-programme-at-srijan-iit-ism-dhanbad1578667009,Dhanbad,15 Jan'20,Campus Ambassador,Performance Based,Immediately,,Media
1,30 Jan'20,AAHVAAN,1 Month,/internship/detail/campus-ambassador-programme-at-aahvaan1578719981,Delhi,15 Jan'20,Campus Ambassador,Performance Based,Immediately,,Media
2,8 Feb'20,Internshala,6 Months,/internship/detail/proofreading-client-interaction-internship-in-gurgaon-at-internshala1578977203,Gurgaon,14 Jan'20,Proofreading & Client Interaction,,Immediately,20000 /Month,Media
3,31 Jan'20,"Tryst, IIT Delhi",2 Months,/internship/detail/campus-ambassador-programme-at-tryst-iit-delhi1579016894,Work From Home,17 Jan'20,Campus Ambassador,Performance Based,Immediately,,Media
4,31 Jan'20,Sudarshan TV Channel Private Limited,3 Months,/internship/detail/digital-marketing-internship-in-noida-at-sudarshan-tv-channel-private-limited1579241313,Noida,17 Jan'20,Digital Marketing,,Immediately,2000-5000 /Month,Media
5,3 Feb'20,"Entrepreneurship Cell, VIT University",2 Months,/internship/detail/campus-ambassador-programme-at-entrepreneurship-cell-vit-university1578905160,Work From Home,16 Jan'20,Campus Ambassador,Performance Based,Immediately,,Media
6,31 Jan'20,Times Internet Limited,6 Months,/internship/detail/content-operations-internship-in-mumbai-at-times-internet-limited1579072163,Mumbai,16 Jan'20,Content Operations,,Immediately,10000 /Month,Media
7,30 Jan'20,Justdial Limited,6 Months,/internship/detail/content-writing-internship-in-mumbai-at-justdial-limited1579156764,Mumbai,16 Jan'20,Content Writing,,Immediately,15000-25000 /Month,Media
8,30 Jan'20,CaratLane Trading Private Limited,3 Months,/internship/detail/photography-internship-in-mumbai-at-caratlane-trading-private-limited1579156452,Mumbai,16 Jan'20,Photography,,Immediately,10000 /Month,Media
9,31 Jan'20,Times Internet,4 Months,/internship/detail/media-public-relations-pr-internship-in-noida-at-times-internet1579079877,Noida,16 Jan'20,Media & Public Relations (PR),,Immediately,10000 /Month,Media
10,29 Jan'20,Motilal Oswal,4 Months,/internship/detail/digital-marketing-internship-in-mumbai-at-motilal-oswal1579091591,Mumbai,15 Jan'20,Digital Marketing,,Immediately,3000 /Week,Media
11,30 Jan'20,CRY - Child Rights and You,1 Month,/internship/detail/photography-and-videography-internship-in-mumbai-at-cry-child-rights-and-you1579076359,Mumbai,15 Jan'20,Photography And Videography,,Immediately,Unpaid,Media
12,19 Feb'20,MAYAPURI GROUP,3 Months,/internship/detail/video-anchoring-internship-in-delhi-at-mayapuri-group1579074251,Delhi,15 Jan'20,Video Anchoring,,Immediately,5000 /Month,Media
