,Apply,Company,Duration,Link,Location,Posted,Profile,Start,Stipend,Tag
0,2 Feb'20,Janitri Innovations Private Limited,3 Months,/internship/detail/research-public-health-internship-in-delhi-bangalore-at-janitri-innovations-private-limited1579292444,Delhi,18 Jan'20,Research (Public Health),Immediately,10000-15000 /Month,Medicine
1,31 Jan'20,Life Scanners,3 Months,/internship/detail/health-care-part-time-job-internship-at-pune-in-life-scanners1579241280,Pune,17 Jan'20,Health Care,Immediately,5000 /Month,Medicine
2,30 Jan'20,Comofi Medtech Private Limited,6 Months,/internship/detail/medical-image-processing-and-ai-internship-in-bangalore-at-comofi-medtech-private-limited1579151577,Bangalore,16 Jan'20,Medical Image Processing And AI,Immediately,10000 /Month,Medicine
3,23 Jan'20,University Of Lausanne (UNIL),2 Months,/internship/detail/internship-at-university-of-lausanne-unil1579091682,Lausanne (Switzerland),15 Jan'20,Summer Undergraduate Research Programme,6 Jul'20,CHF 1500 Lump-Sum,Medicine
4,30 Jan'20,Medrina Technology Management Private Limited,1 Month,/internship/detail/content-writing-medicine-work-from-home-job-internship-at-medrina-technology-management-private-limited1579027845,Work From Home,15 Jan'20,Content Writing (Medicine),Immediately,5000 /Month +  Incentives,Medicine
5,29 Jan'20,Halo Health App,3 Months,/internship/detail/content-writing-part-time-job-internship-at-delhi-in-halo-health-app1578895030,Delhi,14 Jan'20,Content Writing,Immediately,10000-15000 /Month,Medicine
6,28 Jan'20,Aetos Design And Engineering Private Limited,3 Months,/internship/detail/pharmaceutical-engineering-internship-in-bangalore-at-aetos-design-and-engineering-private-limited1578916799,Bangalore,13 Jan'20,Pharmaceutical Engineering,Immediately,10000 /Month,Medicine
7,28 Jan'20,Yog Power Studio Private Limited,6 Months,/internship/detail/ayurvedic-medicine-internship-in-mumbai-at-yog-power-studio-private-limited1578908183,Mumbai,13 Jan'20,Ayurvedic Medicine,Immediately,10000 /Month,Medicine
8,27 Jan'20,Plan My Health,3 Months,/internship/detail/doctor-mbbs-bams-bhms-mpt-bpt-part-time-job-internship-at-multiple-locations-in-plan-my-health1578899729,Delhi,13 Jan'20,Doctor (MBBS/ BAMS/ BHMS/ MPT/BPT),Immediately,5000 /Month,Medicine
9,27 Jan'20,Plan My Health,3 Months,/internship/detail/dietetics-nutrition-part-time-job-internship-at-mumbai-in-plan-my-health1578899682,Mumbai,13 Jan'20,Dietetics & Nutrition,Immediately,3000 /Month,Medicine
