,Apply,Company,Duration,Link,Location,Posted,Profile,Start,Stipend,Tag
0,18 Jan'20,Shantanu & Nikhil,6 Months,/internship/detail/fashion-consulting-internship-in-delhi-at-shantanu-nikhil1578048940,Delhi,3 Jan'20,Fashion Consulting,Immediately,10000 /Month,Merchandise Design
1,30 Jan'20,Print Casual Brands Private Limited,2 Months,/internship/detail/operationsmerchandising-internship-in-noida-at-print-casual-brands-private-limited1579161573,Noida,16 Jan'20,Operations(Merchandising),Immediately,2000-3000 /Month,Merchandise Design
2,19 Feb'20,GiftAbled Innvoventures,6 Months,/internship/detail/merchandise-design-internship-in-bangalore-at-giftabled-innvoventures1579037217,Bangalore,15 Jan'20,Merchandise Design,Immediately,5000 /Month,Merchandise Design
3,28 Jan'20,Religate Ventures,6 Months,/internship/detail/merchandising-internship-in-mumbai-malad-at-religate-ventures1579005852,Mumbai,14 Jan'20,Merchandising,Immediately,3000 /Month,Merchandise Design
4,28 Jan'20,Purple Style Labs,3 Months,/internship/detail/fashion-merchandising-internship-in-mumbai-at-purple-style-labs1579003756,Mumbai,14 Jan'20,Fashion Merchandising,Immediately,5000 /Month,Merchandise Design
5,29 Jan'20,Studio Vaya,3 Months,/internship/detail/home-textiles-design-internship-in-pune-at-studio-vaya1579000423,Pune,14 Jan'20,Home Textiles Design,Immediately,5000 /Month,Merchandise Design
6,28 Jan'20,Raman Kant Munjal Foundation,3 Months,/internship/detail/textile-designing-internship-in-gurgaon-at-raman-kant-munjal-foundation1578892549,Gurgaon,13 Jan'20,Textile Designing,Immediately,10000-15000 /Month,Merchandise Design
7,27 Jan'20,Delhi Diamonds,6 Months,/internship/detail/jewelry-design-internship-in-delhi-at-delhi-diamonds1578850510,Delhi,12 Jan'20,Jewelry Design,Immediately,5000 /Month,Merchandise Design
8,25 Jan'20,Swaraaj Fashions Private Limited,3 Months,/internship/detail/merchandising-internship-in-mumbai-at-swaraaj-fashions-private-limited1578741281,Mumbai,11 Jan'20,Merchandising,Immediately,3000-5000 /Month,Merchandise Design
9,24 Jan'20,The Fashion Enterprise,4 Months,/internship/detail/merchandising-internship-in-mumbai-at-the-fashion-enterprise1578563433,Mumbai,9 Jan'20,Merchandising,Immediately,5000 /Month,Merchandise Design
10,22 Jan'20,Inchstreet,3 Months,/internship/detail/fashion-design-merchandising-internship-in-faridabad-at-inchstreet1578475624,Faridabad,8 Jan'20,Fashion Design (Merchandising),Immediately,3000-7000 /Month,Merchandise Design
11,22 Jan'20,United Textile Mills Private Limited,6 Months,/internship/detail/merchandising-internship-in-mumbai-at-united-textile-mills-private-limited1578464544,Mumbai,8 Jan'20,Merchandising,Immediately,5000-7000 /Month,Merchandise Design
12,10 Feb'20,Nurturing Green Retail Private Limited,3 Months,/internship/detail/merchandise-design-internship-in-noida-at-nurturing-green-retail-private-limited1578307017,Noida,6 Jan'20,Merchandise Design,Immediately,2000-5000 /Month,Merchandise Design
13,18 Jan'20,ANK Fashions Private Limited,4 Months,/internship/detail/merchandise-design-internship-in-chandivali-mumbai-at-ank-fashions-private-limited1578140063,Chandivali,4 Jan'20,Merchandise Design,Immediately,5000 /Month,Merchandise Design
14,27 Jan'20,Color Cocktail LLP,2 Months,/internship/detail/designing-merchandising-internship-in-gurgaon-at-color-cocktail-llp1577104143,Gurgaon,23 Dec'19,Designing & Merchandising,Immediately,5000 /Month,Merchandise Design
15,20 Jan'20,Shramdaan,2 Months,/internship/detail/textile-design-internship-in-multiple-locations-at-shramdaan1577086507,Ashoknagar,23 Dec'19,Textile Design,Immediately,5000-10000 /Month,Merchandise Design
16,28 Jan'20,RR Lifestyles,6 Months,/internship/detail/merchandise-design-internship-in-bangalore-at-rr-lifestyles1576940020,Bangalore,23 Dec'19,Merchandise Design,Immediately,5000 /Month,Merchandise Design
