,Apply,Company,Duration,Link,Location,Posted,Profile,Start,Stipend,Tag
0,8 Feb'20,Internshala,6 Months,/internship/detail/proofreading-client-interaction-internship-in-gurgaon-at-internshala1578977203,Gurgaon,14 Jan'20,Proofreading & Client Interaction,Immediately,20000 /Month,Operations
1,1 Feb'20,Colgate Palmolive (India) Limited,3 Months,/internship/detail/sustainability-project-bench-marking--internship-in-mumbai-at-colgate-palmolive-india-limited1579156255,Mumbai,17 Jan'20,Sustainability Project (Bench Marking ),Immediately,15000-25000 /Month,Operations
2,31 Jan'20,Times Internet Limited,3 Months,/internship/detail/project-management-part-time-job-internship-at-gurgaon-in-times-internet-limited1579177894,Gurgaon,16 Jan'20,Project Management,Immediately,5000 /Month,Operations
3,31 Jan'20,Sterlite Technologies Limited,6 Months,/internship/detail/operations-internship-in-jansa-at-sterlite-technologies-limited1579166491,Jansa,16 Jan'20,Operations,Immediately,12000 /Month,Operations
4,30 Jan'20,Delhivery Private Limited,4 Months,/internship/detail/client-servicing-internship-in-kolkata-at-delhivery-private-limited1579170996,Kolkata,16 Jan'20,Client Servicing,Immediately,9000 /Month,Operations
5,30 Jan'20,9X Media Private Limited,5 Months,/internship/detail/talent-management-internship-in-mumbai-at-9x-media-private-limited1579168434,Mumbai,16 Jan'20,Talent Management,Immediately,5000 /Month,Operations
6,31 Jan'20,Motilal Oswal,5 Months,/internship/detail/operations-internship-in-mumbai-at-motilal-oswal1579161899,Mumbai,16 Jan'20,Operations,Immediately,3000 /Month,Operations
7,31 Jan'20,Delhivery Private Limited,3 Months,/internship/detail/mis-internship-in-mumbai-at-delhivery-private-limited1579088944,Mumbai,16 Jan'20,MIS,Immediately,12000 /Month,Operations
8,31 Jan'20,Motilal Oswal,4 Months,/internship/detail/operations-internship-in-mumbai-at-motilal-oswal1579161504,Mumbai,16 Jan'20,Operations,Immediately,3000 /Month,Operations
9,31 Jan'20,Times Internet Limited,6 Months,/internship/detail/content-operations-internship-in-mumbai-at-times-internet-limited1579072163,Mumbai,16 Jan'20,Content Operations,Immediately,10000 /Month,Operations
10,31 Jan'20,Motilal Oswal,4 Months,/internship/detail/relationship-management-internship-in-mumbai-at-motilal-oswal1579156907,Mumbai,16 Jan'20,Relationship Management,Immediately,3000 /Month,Operations
11,31 Jan'20,Teach For India,2 Months,/internship/detail/city-human-resources-and-operations-internship-in-hyderabad-at-teach-for-india1579083198,Hyderabad,16 Jan'20,City Human Resources And Operations,Immediately,4000 /Month,Operations
12,29 Jan'20,Hungama Digital Media Entertainment Private Limited,3 Months,/internship/detail/database-building-management-internship-in-mumbai-at-hungama-digital-media-entertainment-private-limited1579094005,Mumbai,15 Jan'20,Database Building/Management,Immediately,5000 /Month,Operations
13,30 Jan'20,Treebo Hotels,6 Months,/internship/detail/customer-service-internship-in-bangalore-at-treebo-hotels1579086183,Bangalore,15 Jan'20,Customer Service,Immediately,16000 /Month,Operations
14,29 Jan'20,UrbanClap Technologies India Private Limited,3 Months,/internship/detail/operations-internship-in-pune-at-urbanclap-technologies-india-private-limited1579085685,Pune,15 Jan'20,Operations,Immediately,8000-10000 /Month,Operations
15,30 Jan'20,Uber,6 Months,/internship/detail/restaurant-operations-internship-in-bhubaneswar-cuttack-at-uber1578917669,Bhubaneswar,15 Jan'20,Restaurant Operations,Immediately,35000-45000 /Month,Operations
16,28 Jan'20,Times Network,3 Months,/internship/detail/traffic-presentation-internship-in-mumbai-at-times-network1578984526,Mumbai,14 Jan'20,Traffic & Presentation,Immediately,3000 /Month,Operations
17,28 Jan'20,Hindustan Unilever Limited,6 Months,/internship/detail/ecommerce-management-internship-in-mumbai-at-hindustan-unilever-limited1578478555,Mumbai,14 Jan'20,Ecommerce Management,Immediately,20000 /Month,Operations
18,29 Jan'20,"Bennett, Coleman & Company Limited",6 Months,/internship/detail/operations-internship-in-mumbai-at-bennett-coleman-company-limited1578635400,Mumbai,14 Jan'20,Operations,Immediately,5000 /Month,Operations
19,28 Jan'20,Think & Learn Private Limited (BYJU'S),3 Months,/internship/detail/campaign-marketing-internship-in-multiple-locations-at-think-learn-private-limited-byjus1578997149,Delhi,13 Jan'20,Campaign Marketing,Immediately,15000 /Month,Operations
