,Apply,Company,Duration,Link,Location,Posted,Profile,Start,Stipend,Tag
0,1 Feb'20,Starlit Ability Enhancement Services Private Limited,6 Months,/internship/detail/child-psychology-internship-in-multiple-locations-at-starlit-ability-enhancement-services-private-limited1579329920,Thane,18 Jan'20,Child Psychology,Immediately,8000-12000 /Month,Psychology
1,1 Feb'20,OD Alternatives,3 Months,/internship/detail/psychology-internship-in-delhi-at-od-alternatives1579323999,Delhi,18 Jan'20,Psychology,Immediately,10000 /Month,Psychology
2,30 Jan'20,Rajeev Classes,4 Months,/internship/detail/academic-councelling-internship-in-kolkata-at-rajeev-classes1579150780,Kolkata,16 Jan'20,Academic Councelling,Immediately,6000-10000 /Month,Psychology
3,31 Jan'20,Prajna Self Care,3 Months,/internship/detail/psychology-part-time-job-internship-at-navi-mumbai-in-prajna-self-care1579000555,Navi Mumbai,16 Jan'20,Psychology,Immediately,10000 /Month,Psychology
4,29 Jan'20,Innovade Creations Private Limited,2 Months,/internship/detail/psychology-internship-in-bangalore-at-innovade-creations-private-limited1579095086,Bangalore,15 Jan'20,Psychology,Immediately,2000 /Month,Psychology
5,30 Jan'20,Intellinects Ventures Private Limited,2 Months,/internship/detail/psychological-assessments-part-time-job-internship-at-mumbai-in-intellinects-ventures-private-limited1578988011,Mumbai,15 Jan'20,Psychological Assessments,Immediately,5000 /Month,Psychology
6,29 Jan'20,Totality Corporation,3 Months,/internship/detail/game-design-research-internship-in-gurgaon-at-totality-corporation1579078051,Gurgaon,15 Jan'20,Game Design Research,Immediately,15000 /Month,Psychology
7,30 Jan'20,CogniAble,3 Months,/internship/detail/content-writing-psychology-internship-in-gurgaon-at-cogniable1579073943,Gurgaon,15 Jan'20,Content Writing (Psychology),Immediately,20000 /Month,Psychology
8,30 Jan'20,Internshala,6 Months,/internship/detail/student-counselling-and-support-internship-in-gurgaon-at-internshala1579062036,Gurgaon,15 Jan'20,Student Counselling And Support,Immediately,20000 /Month,Psychology
9,28 Jan'20,CareerNaksha,2 Months,/internship/detail/psychology-internship-in-ahmedabad-at-careernaksha1578989620,Ahmedabad,14 Jan'20,Psychology,Immediately,5000 /Month,Psychology
10,27 Jan'20,Mediconation,3 Months,/internship/detail/counseling-psychology-internship-in-noida-delhi-at-mediconation1578909855,Noida,13 Jan'20,Counseling Psychology,Immediately,5000-8000 /Month,Psychology
11,28 Jan'20,Innovade Creations Private Limited,3 Months,/internship/detail/psychology-work-from-home-job-internship-at-innovade-creations-private-limited1578908334,Work From Home,13 Jan'20,Psychology,Immediately,5000 Lump-Sum,Psychology
12,28 Jan'20,Bansal Learning Private Limited,6 Months,/internship/detail/career-counseling-internship-in-bangalore-at-bansal-learning-private-limited1578646745,Bangalore,13 Jan'20,Career Counseling,Immediately,10000-15000 /Month,Psychology
13,28 Jan'20,HEURO,1 Month,/internship/detail/psychology-work-from-home-job-internship-at-heuro-platform-private-limited1578642809,Work From Home,13 Jan'20,Psychology,Immediately,5000-10000 /Month,Psychology
14,15 Feb'20,MY CAREER IDEA,3 Months,/internship/detail/psychology-internship-in-delhi-at-my-career-idea1578727082,Delhi,11 Jan'20,Psychology,Immediately,5000 /Month,Psychology
15,25 Jan'20,Datsme,6 Months,/internship/detail/psychology-internship-in-delhi-at-datsme1578688671,Delhi,11 Jan'20,Psychology,Immediately,2000 /Month,Psychology
16,25 Jan'20,Assist 2 Path Tech,2 Months,/internship/detail/research-analysis-psychology-work-from-home-job-internship-at-assist-2-path-tech1578596377,Work From Home,10 Jan'20,Research & Analysis (Psychology),Immediately,1000-1500 /Month,Psychology
17,23 Jan'20,Abacus Management Consultants Private Limited,2 Months,/internship/detail/psychology-part-time-job-internship-at-delhi-in-abacus-management-consultants-private-limited1578564712,Delhi,9 Jan'20,Psychology,Immediately,2500-5000 /Month,Psychology
18,13 Feb'20,Augray Private Limited,3 Months,/internship/detail/psychology-internship-in-chennai-at-augray-private-limited1578543289,Chennai,9 Jan'20,Psychology,Immediately,10000 /Month,Psychology
19,23 Jan'20,Vedantu Innovation,6 Months,/internship/detail/subject-matter-expert-mental-ability-internship-in-bangalore-at-vedantu-innovation1578483078,Bangalore,8 Jan'20,Subject Matter Expert (Mental Ability),Immediately,20000 /Month,Psychology
20,23 Jan'20,Neolen,1 Month,/internship/detail/psychology-work-from-home-job-internship-at-neolen1578315410,Work From Home,8 Jan'20,Psychology,Immediately,2000 /Month,Psychology
21,23 Jan'20,The Thought Company,3 Months,/internship/detail/psychology-internship-in-mumbai-at-the-thought-company1578434699,Mumbai,8 Jan'20,Psychology,Immediately,11000 /Month,Psychology
22,11 Feb'20,International Youth For Uncensored & Visionary Actions (I-Yuva),2 Months,/internship/detail/help-team-psychology-part-time-job-internship-at-multiple-locations-in-international-youth-for-uncensored-visionary-actions-i-yuva1578407600,Delhi,7 Jan'20,Help Team (Psychology),Immediately,Unpaid,Psychology
23,22 Jan'20,Anant National University,5 Months,/internship/detail/admissions-counseling-internship-in-ahmedabad-at-anant-national-university1578385232,Ahmedabad,7 Jan'20,Admissions Counseling,Immediately,15000 /Month,Psychology
24,31 Jan'20,The Mind & Wellness Studio,2 Months,/internship/detail/psychology-internship-in-delhi-at-the-mind-wellness-studio1578306252,Delhi,6 Jan'20,Psychology,Immediately,2000 /Month,Psychology
25,20 Jan'20,Centre For Social And Behaviour Change Communication,3 Months,/internship/detail/teaching-psychology-internship-in-mumbai-at-centre-for-social-and-behaviour-change-communication1578295464,Mumbai,6 Jan'20,Teaching (Psychology),Immediately,Unpaid,Psychology
26,20 Jan'20,Asmi,6 Months,/internship/detail/psychology-part-time-job-internship-at-delhi-in-asmi1578286996,Delhi,6 Jan'20,Psychology,Immediately,2000 /Month,Psychology
27,21 Jan'20,Grand Slam Fitness,2 Months,/internship/detail/sports-psychology-internship-in-noida-at-grand-slam-fitness1578031293,Noida,6 Jan'20,Sports Psychology,Immediately,8000 /Month,Psychology
28,18 Jan'20,Focus Academy For Career Enhancement,6 Months,/internship/detail/counseling-internship-in-bangalore-at-focus-academy-for-career-enhancement1578052077,Bangalore,3 Jan'20,Counseling,Immediately,20000-30000 /Month,Psychology
29,31 Jan'20,Chrysalis,2 Months,/internship/detail/impact-study-school-education-internship-in-multiple-locations-at-chrysalis1578032481,Chennai,3 Jan'20,Impact Study (School Education),Immediately,20000 Lump-Sum,Psychology
30,31 Jan'20,Prajna Self Care,3 Months,/internship/detail/life-coaching-internship-in-navi-mumbai-at-prajna-self-care1577939789,Navi Mumbai,2 Jan'20,Life Coaching,Immediately,5000 /Month,Psychology
31,31 Jan'20,Caregiver Saathi,3 Months,/internship/detail/psychology-internship-in-mumbai-at-caregiver-saathi1577777457,Mumbai,31 Dec'19,Psychology,Immediately,2000-3000 /Month,Psychology
32,31 Jan'20,Jan Elaaj,3 Months,/internship/detail/mental-health-research-internship-in-delhi-at-jan-elaaj1577514117,Delhi,30 Dec'19,Mental Health Research,Immediately,3500 /Month,Psychology
33,28 Jan'20,Plan My Health,3 Months,/internship/detail/psychology-work-from-home-job-internship-at-plan-my-health1577177887,Work From Home,24 Dec'19,Psychology,Immediately,5000 /Month,Psychology
34,24 Jan'20,Zifcare,4 Months,/internship/detail/psychology-internship-in-ahmedabad-at-zifcare1576937875,Ahmedabad,21 Dec'19,Psychology,Immediately,5000 /Month,Psychology
35,23 Jan'20,Roots,6 Months,/internship/detail/consumer-behavioural-science-philosophy-internship-in-ghaziabad-delhi-at-roots1576659902,Ghaziabad,18 Dec'19,Consumer Behavioural Science: Philosophy,Immediately,5000-10000 /Month,Psychology
36,21 Jan'20,HeadStart Education & Careers Private Limited,6 Months,/internship/detail/student-counselling-internship-in-ahmedabad-at-headstart-education-careers-private-limited1576568322,Ahmedabad,17 Dec'19,Student Counselling,Immediately,13500 /Month,Psychology
37,18 Jan'20,Abacus Management Consultants,3 Months,/internship/detail/psychology-part-time-job-internship-at-delhi-in-abacus-management-consultants1576305025,Delhi,14 Dec'19,Psychology,Immediately,3500-5000 /Month,Psychology
38,1 Feb'20,Starlit Ability Enhancement Services Private Limited,6 Months,/internship/detail/child-psychology-internship-in-multiple-locations-at-starlit-ability-enhancement-services-private-limited1579329920,Thane,18 Jan'20,Child Psychology,Immediately,8000-12000 /Month,Psychology
39,1 Feb'20,OD Alternatives,3 Months,/internship/detail/psychology-internship-in-delhi-at-od-alternatives1579323999,Delhi,18 Jan'20,Psychology,Immediately,10000 /Month,Psychology
40,30 Jan'20,Rajeev Classes,4 Months,/internship/detail/academic-councelling-internship-in-kolkata-at-rajeev-classes1579150780,Kolkata,16 Jan'20,Academic Councelling,Immediately,6000-10000 /Month,Psychology
