,Apply,Company,Duration,Link,Location,Posted,Profile,Start,Stipend,Tag
0,31 Jan'20,Times Internet,4 Months,/internship/detail/media-public-relations-pr-internship-in-noida-at-times-internet1579079877,Noida,16 Jan'20,Media & Public Relations (PR),Immediately,10000 /Month,Public Relations (PR)
1,10 Feb'20,One PR India,3 Months,/internship/detail/media-public-relations-pr-internship-in-delhi-at-one-pr-india1579266849,Delhi,17 Jan'20,Media & Public Relations (PR),Immediately,2000 /Month,Public Relations (PR)
2,31 Jan'20,Crystal Hues Limited,6 Months,/internship/detail/media-public-relations-pr-internship-in-greater-noida-noida-at-crystal-hues-limited1579262399,Greater Noida,17 Jan'20,Media & Public Relations (PR),Immediately,6000-10000 /Month,Public Relations (PR)
3,31 Jan'20,Mansa,6 Months,/internship/detail/media-public-relations-pr-internship-in-delhi-at-mansa1579256980,Delhi,17 Jan'20,Media & Public Relations (PR),Immediately,5000 /Month,Public Relations (PR)
4,1 Feb'20,Brandatory,3 Months,/internship/detail/media-public-relations-pr-work-from-home-job-internship-at-brandatory1579161004,Work From Home,17 Jan'20,Media & Public Relations (PR),Immediately,1000 /Month +  Incentives,Public Relations (PR)
5,31 Jan'20,NavBharat Today,2 Months,/internship/detail/media-public-relations-pr-internship-in-pune-at-navbharat-today1579246838,Pune,17 Jan'20,Media & Public Relations (PR),Immediately,3000-5000 /Month,Public Relations (PR)
6,31 Jan'20,The Bluebeans,2 Months,/internship/detail/media-public-relations-pr-internship-in-gurgaon-at-the-bluebeans1579239086,Gurgaon,17 Jan'20,Media & Public Relations (PR),Immediately,7000 /Month,Public Relations (PR)
7,1 Feb'20,Media Box,3 Months,/internship/detail/media-management-public-relations-internship-in-kolkata-at-media-box1579154246,Kolkata,17 Jan'20,Media Management & Public Relations,Immediately,9000-14000 /Month,Public Relations (PR)
8,30 Jan'20,Crystal Hues Limited,6 Months,/internship/detail/media-public-relations-pr-internship-in-noida-at-crystal-hues-limited1579175726,Noida,16 Jan'20,Media & Public Relations (PR),Immediately,5000-10000 /Month,Public Relations (PR)
9,30 Jan'20,Omnipotent Marketing Private Limited,2 Months,/internship/detail/events-pr-internship-in-mumbai-at-omnipotent-marketing-private-limited1579166867,Mumbai,16 Jan'20,Events & PR,Immediately,5000-8000 /Month,Public Relations (PR)
10,30 Jan'20,Weber Shandwick,2 Months,/internship/detail/media-public-relations-pr-internship-in-mumbai-at-weber-shandwick1579165396,Mumbai,16 Jan'20,Media & Public Relations (PR),Immediately,7000 /Month,Public Relations (PR)
11,30 Jan'20,La Polo,2 Months,/internship/detail/media-public-relations-pr-internship-in-delhi-at-la-polo1579155631,Delhi,16 Jan'20,Media & Public Relations (PR),Immediately,5000 /Month,Public Relations (PR)
12,31 Jan'20,Indian Road Safety Campaign,6 Months,/internship/detail/government-relations-internship-in-delhi-at-indian-road-safety-campaign1579084931,Delhi,16 Jan'20,Government Relations,Immediately,5000 /Month,Public Relations (PR)
