,Apply,Company,Duration,Link,Location,Posted,Profile,Start,Stipend,Tag
0,1 Feb'20,Royal Enfield,3 Months,/internship/detail/business-development-sales-internship-in-bangalore-at-royal-enfield1579151920,Bangalore,17 Jan'20,Business Development (Sales),Immediately,10000 /Month,Sales
1,1 Feb'20,Cipla Health Limited,2 Months,/internship/detail/business-development-sales-internship-in-multiple-locations-at-cipla-health-limited1578983311,Ahmedabad,17 Jan'20,Business Development (Sales),1 Apr - 11 May'20,10000 /Month,Sales
2,31 Jan'20,MakeMyTrip,6 Months,/internship/detail/marketing-internship-in-kolkata-at-makemytrip1579254890,Kolkata,17 Jan'20,Marketing,Immediately,7500 /Month,Sales
3,31 Jan'20,UrbanClap Technologies India Private Limited,2 Months,/internship/detail/business-development-sales-internship-in-chennai-at-urbanclap-technologies-india-private-limited1579252526,Chennai,17 Jan'20,Business Development (Sales),Immediately,8000-12000 /Month,Sales
4,31 Jan'20,BYJU'S,2 Months,/internship/detail/marketing-internship-in-mumbai-at-byjus1579246948,Mumbai,17 Jan'20,Marketing,Immediately,15000 /Month,Sales
5,30 Jan'20,Conde Nast India,3 Months,/internship/detail/business-development-sales-internship-in-mumbai-at-conde-nast-india1579178908,Mumbai,16 Jan'20,Business Development (Sales),Immediately,3500 /Month,Sales
6,30 Jan'20,BookMyShow,3 Months,/internship/detail/sponsorship-sales-internship-in-mumbai-at-bookmyshow1579173695,Mumbai,16 Jan'20,Sponsorship Sales,Immediately,5000 /Month,Sales
7,29 Jan'20,Times Internet Limited,3 Months,/internship/detail/business-development-sales-internship-in-multiple-locations-at-times-internet-limited1578980014,Agra,15 Jan'20,Business Development (Sales),Immediately,10000 /Month,Sales
8,29 Jan'20,Freecharge Payments Technology Private Limited,3 Months,/internship/detail/business-development-sales-internship-in-gurgaon-at-freecharge-payments-technology-private-limited1579073940,Gurgaon,15 Jan'20,Business Development (Sales),Immediately,10000 /Month,Sales
9,28 Jan'20,UrbanClap Technologies India Private Limited,3 Months,/internship/detail/business-development-sales-internship-in-hyderabad-at-urbanclap-technologies-india-private-limited1579005860,Hyderabad,14 Jan'20,Business Development (Sales),Immediately,8000-12000 /Month,Sales
10,29 Jan'20,"Bennett, Coleman & Company Limited",6 Months,/internship/detail/business-development-sales-internship-in-mumbai-at-bennett-coleman-company-limited1578659385,Mumbai,14 Jan'20,Business Development (Sales),Immediately,5000 /Month,Sales
11,28 Jan'20,Times Centre For Learning Limited,6 Months,/internship/detail/business-development-sales-internship-in-mumbai-at-times-centre-for-learning-limited1578981264,Mumbai,14 Jan'20,Business Development (Sales),Immediately,5000-7000 /Month,Sales
12,28 Jan'20,UrbanClap Technologies India Private Limited,2 Months,/internship/detail/business-development-sales-internship-in-gurgaon-at-urbanclap-technologies-india-private-limited1578231338,Gurgaon,13 Jan'20,Business Development (Sales),Immediately,8000 /Month,Sales
13,27 Jan'20,Percept,3 Months,/internship/detail/business-development-sales-internship-in-delhi-at-percept1578895924,Delhi,13 Jan'20,Business Development (Sales),Immediately,2500 /Month,Sales
14,28 Jan'20,Terence Lewis Professional Training Institute,4 Months,/internship/detail/business-development-sales-internship-in-mumbai-at-terence-lewis-professional-training-institute1578573393,Mumbai,13 Jan'20,Business Development (Sales),Immediately,10000 /Month,Sales
15,24 Jan'20,UrbanClap Technologies India Private Limited,3 Months,/internship/detail/business-development-sales-internship-in-mumbai-at-urbanclap-technologies-india-private-limited1578554869,Mumbai,10 Jan'20,Business Development (Sales),Immediately,8000-12000 /Month,Sales
16,14 Feb'20,IDBI Federal Life Insurance Company,2 Months,/internship/detail/marketing-internship-in-kolkata-at-idbi-federal-life-insurance-company1578643111,Kolkata,10 Jan'20,Marketing,Immediately,5000 /Month,Sales
17,23 Jan'20,Zomato Media Private Limited,6 Months,/internship/detail/business-development-sales-internship-in-coimbatore-at-zomato-media-private-limited1578574347,Coimbatore,9 Jan'20,Business Development (Sales),Immediately,7000-10000 /Month,Sales
18,24 Jan'20,IndiaMART,1 Month,/internship/detail/business-development-sales-internship-in-delhi-at-indiamart1578477564,Delhi,9 Jan'20,Business Development (Sales),Immediately,5000 /Month,Sales
19,22 Jan'20,Outlook Publishing India Private Limited,2 Months,/internship/detail/business-development-sales-internship-in-delhi-at-outlook-publishing-india-private-limited1578467056,Delhi,8 Jan'20,Business Development (Sales),Immediately,7000 /Month,Sales
20,22 Jan'20,Pearson India Education Services Private Limited,6 Months,/internship/detail/business-development-sales-internship-in-warangal-at-pearson-india-education-services-private-limited1578464804,Warangal,8 Jan'20,Business Development (Sales),Immediately,20000 /Month,Sales
21,22 Jan'20,UrbanClap Technologies India Private Limited,6 Months,/internship/detail/business-development-sales-internship-in-bangalore-at-urbanclap-technologies-india-private-limited1578460231,Bangalore,8 Jan'20,Business Development (Sales),Immediately,18000 /Month,Sales
22,22 Jan'20,Times Internet Limited,6 Months,/internship/detail/marketing-internship-in-noida-at-times-internet-limited1578459959,Noida,8 Jan'20,Marketing,Immediately,10000 /Month,Sales
23,23 Jan'20,Marico Limited,1 Month,/internship/detail/business-development-sales-part-time-job-internship-at-multiple-locations-in-marico-limited1578311278,Faridabad,8 Jan'20,Business Development (Sales),Immediately,2000 Lump-Sum +  Incentives,Sales
24,22 Jan'20,Hindustan Unilever Limited,1 Month,/internship/detail/marketing-internship-in-chennai-at-hindustan-unilever-limited1578309087,Chennai,7 Jan'20,Marketing,Immediately,15000 /Month,Sales
25,21 Jan'20,UrbanClap Technologies India Private Limited,3 Months,/internship/detail/business-development-sales-internship-in-hyderabad-at-urbanclap-technologies-india-private-limited1578399697,Hyderabad,7 Jan'20,Business Development (Sales),Immediately,10000-16000 /Month,Sales
26,21 Jan'20,Delhivery - NVD,2 Months,/internship/detail/business-development-sales-internship-in-multiple-locations-at-delhivery-nvd1578389146,Pune,7 Jan'20,Business Development (Sales),Immediately,10000 /Month,Sales
27,21 Jan'20,Freecharge Payments Technology Private Limited,3 Months,/internship/detail/business-development-sales-internship-in-gurgaon-at-freecharge-payments-technology-private-limited1578388834,Gurgaon,7 Jan'20,Business Development (Sales),Immediately,10000 /Month,Sales
28,21 Jan'20,Outlook Publishing India Private Limited,2 Months,/internship/detail/business-development-sales-internship-in-multiple-locations-at-outlook-publishing-india-private-limited1578381619,Delhi,7 Jan'20,Business Development (Sales),Immediately,5000-7000 /Month,Sales
29,31 Jan'20,Godrej Properties Limited,3 Months,/internship/detail/business-development-sales-internship-in-mumbai-at-godrej-properties-limited1578378860,Mumbai,7 Jan'20,Business Development (Sales),Immediately,5000 /Month,Sales
30,21 Jan'20,UrbanClap Technologies India Private Limited,2 Months,/internship/detail/business-development-sales-internship-in-bhubaneswar-at-urbanclap-technologies-india-private-limited1578376364,Bhubaneswar,7 Jan'20,Business Development (Sales),Immediately,7000 /Month,Sales
31,21 Jan'20,Future Generali,4 Months,/internship/detail/marketing-internship-in-bangalore-at-future-generali1578372441,Bangalore,7 Jan'20,Marketing,Immediately,4000 /Month,Sales
32,20 Jan'20,Tata Teleservices Limited,3 Months,/internship/detail/business-development-sales-internship-in-multiple-locations-at-tata-teleservices-limited1578295003,Noida,6 Jan'20,Business Development (Sales),Immediately,5000 /Month,Sales
33,20 Jan'20,Mahindra Lifespace Developers Limited,2 Months,/internship/detail/business-development-sales-internship-in-mumbai-at-mahindra-lifespace-developers-limited1578288113,Mumbai,6 Jan'20,Business Development (Sales),Immediately,10000 /Month,Sales
34,7 Feb'20,Hindustan Unilever Limited,5 Months,/internship/detail/business-development-sales-internship-in-multiple-locations-at-hindustan-unilever-limited1578027890,Kolhapur,3 Jan'20,Business Development (Sales),Immediately,25000 /Month,Sales
35,24 Jan'20,Uber India,4 Months,/internship/detail/business-development-sales-internship-in-kolkata-at-uber-india1577950186,Kolkata,2 Jan'20,Business Development (Sales),Immediately,5000 /Month,Sales
36,30 Jan'20,UrbanClap Technologies India Private Limited,2 Months,/internship/detail/business-development-sales-internship-in-mumbai-at-urbanclap-technologies-india-private-limited1577364495,Mumbai,26 Dec'19,Business Development (Sales),Immediately,10000 /Month,Sales
37,1 Feb'20,Plunes Technologies Private Limited,2 Months,/internship/detail/business-development-sales-internship-in-gurgaon-at-plunes-technologies-private-limited1579335834,Gurgaon,18 Jan'20,Business Development (Sales),Immediately,15000 /Month,Sales
38,1 Feb'20,Pix Brand Private Limited,3 Months,/internship/detail/business-development-sales-internship-in-indore-at-pix-brand-private-limited1579335467,Indore,18 Jan'20,Business Development (Sales),Immediately,5000-6000 /Month,Sales
39,1 Feb'20,Creatorshala,3 Months,/internship/detail/business-development-sales-internship-in-multiple-locations-at-creatorshala1579335210,Delhi,18 Jan'20,Business Development (Sales),Immediately,4000 /Month +  Incentives,Sales
40,1 Feb'20,Royal Enfield,3 Months,/internship/detail/business-development-sales-internship-in-bangalore-at-royal-enfield1579151920,Bangalore,17 Jan'20,Business Development (Sales),Immediately,10000 /Month,Sales
41,1 Feb'20,Cipla Health Limited,2 Months,/internship/detail/business-development-sales-internship-in-multiple-locations-at-cipla-health-limited1578983311,Ahmedabad,17 Jan'20,Business Development (Sales),1 Apr - 11 May'20,10000 /Month,Sales
42,31 Jan'20,MakeMyTrip,6 Months,/internship/detail/marketing-internship-in-kolkata-at-makemytrip1579254890,Kolkata,17 Jan'20,Marketing,Immediately,7500 /Month,Sales
43,31 Jan'20,UrbanClap Technologies India Private Limited,2 Months,/internship/detail/business-development-sales-internship-in-chennai-at-urbanclap-technologies-india-private-limited1579252526,Chennai,17 Jan'20,Business Development (Sales),Immediately,8000-12000 /Month,Sales
44,31 Jan'20,BYJU'S,2 Months,/internship/detail/marketing-internship-in-mumbai-at-byjus1579246948,Mumbai,17 Jan'20,Marketing,Immediately,15000 /Month,Sales
45,30 Jan'20,Conde Nast India,3 Months,/internship/detail/business-development-sales-internship-in-mumbai-at-conde-nast-india1579178908,Mumbai,16 Jan'20,Business Development (Sales),Immediately,3500 /Month,Sales
46,30 Jan'20,BookMyShow,3 Months,/internship/detail/sponsorship-sales-internship-in-mumbai-at-bookmyshow1579173695,Mumbai,16 Jan'20,Sponsorship Sales,Immediately,5000 /Month,Sales
47,29 Jan'20,Times Internet Limited,3 Months,/internship/detail/business-development-sales-internship-in-multiple-locations-at-times-internet-limited1578980014,Agra,15 Jan'20,Business Development (Sales),Immediately,10000 /Month,Sales
48,29 Jan'20,Freecharge Payments Technology Private Limited,3 Months,/internship/detail/business-development-sales-internship-in-gurgaon-at-freecharge-payments-technology-private-limited1579073940,Gurgaon,15 Jan'20,Business Development (Sales),Immediately,10000 /Month,Sales
49,28 Jan'20,UrbanClap Technologies India Private Limited,3 Months,/internship/detail/business-development-sales-internship-in-hyderabad-at-urbanclap-technologies-india-private-limited1579005860,Hyderabad,14 Jan'20,Business Development (Sales),Immediately,8000-12000 /Month,Sales
50,29 Jan'20,"Bennett, Coleman & Company Limited",6 Months,/internship/detail/business-development-sales-internship-in-mumbai-at-bennett-coleman-company-limited1578659385,Mumbai,14 Jan'20,Business Development (Sales),Immediately,5000 /Month,Sales
51,28 Jan'20,Times Centre For Learning Limited,6 Months,/internship/detail/business-development-sales-internship-in-mumbai-at-times-centre-for-learning-limited1578981264,Mumbai,14 Jan'20,Business Development (Sales),Immediately,5000-7000 /Month,Sales
52,28 Jan'20,UrbanClap Technologies India Private Limited,2 Months,/internship/detail/business-development-sales-internship-in-gurgaon-at-urbanclap-technologies-india-private-limited1578231338,Gurgaon,13 Jan'20,Business Development (Sales),Immediately,8000 /Month,Sales
53,27 Jan'20,Percept,3 Months,/internship/detail/business-development-sales-internship-in-delhi-at-percept1578895924,Delhi,13 Jan'20,Business Development (Sales),Immediately,2500 /Month,Sales
54,28 Jan'20,Terence Lewis Professional Training Institute,4 Months,/internship/detail/business-development-sales-internship-in-mumbai-at-terence-lewis-professional-training-institute1578573393,Mumbai,13 Jan'20,Business Development (Sales),Immediately,10000 /Month,Sales
55,24 Jan'20,UrbanClap Technologies India Private Limited,3 Months,/internship/detail/business-development-sales-internship-in-mumbai-at-urbanclap-technologies-india-private-limited1578554869,Mumbai,10 Jan'20,Business Development (Sales),Immediately,8000-12000 /Month,Sales
56,14 Feb'20,IDBI Federal Life Insurance Company,2 Months,/internship/detail/marketing-internship-in-kolkata-at-idbi-federal-life-insurance-company1578643111,Kolkata,10 Jan'20,Marketing,Immediately,5000 /Month,Sales
57,23 Jan'20,Zomato Media Private Limited,6 Months,/internship/detail/business-development-sales-internship-in-coimbatore-at-zomato-media-private-limited1578574347,Coimbatore,9 Jan'20,Business Development (Sales),Immediately,7000-10000 /Month,Sales
58,24 Jan'20,IndiaMART,1 Month,/internship/detail/business-development-sales-internship-in-delhi-at-indiamart1578477564,Delhi,9 Jan'20,Business Development (Sales),Immediately,5000 /Month,Sales
59,22 Jan'20,Outlook Publishing India Private Limited,2 Months,/internship/detail/business-development-sales-internship-in-delhi-at-outlook-publishing-india-private-limited1578467056,Delhi,8 Jan'20,Business Development (Sales),Immediately,7000 /Month,Sales
