,Apply,Company,Duration,Link,Location,Posted,Profile,Rewards,Start,Stipend,Tag
0,30 Jan'20,"Srijan, IIT (ISM) Dhanbad.",3 Weeks,/internship/detail/campus-ambassador-programme-at-srijan-iit-ism-dhanbad1578667009,Dhanbad,15 Jan'20,Campus Ambassador,Performance Based,Immediately,,Social Media Marketing
1,30 Jan'20,AAHVAAN,1 Month,/internship/detail/campus-ambassador-programme-at-aahvaan1578719981,Delhi,15 Jan'20,Campus Ambassador,Performance Based,Immediately,,Social Media Marketing
2,31 Jan'20,"Tryst, IIT Delhi",2 Months,/internship/detail/campus-ambassador-programme-at-tryst-iit-delhi1579016894,Work From Home,17 Jan'20,Campus Ambassador,Performance Based,Immediately,,Social Media Marketing
3,31 Jan'20,Sudarshan TV Channel Private Limited,3 Months,/internship/detail/digital-marketing-internship-in-noida-at-sudarshan-tv-channel-private-limited1579241313,Noida,17 Jan'20,Digital Marketing,,Immediately,2000-5000 /Month,Social Media Marketing
4,3 Feb'20,"Entrepreneurship Cell, VIT University",2 Months,/internship/detail/campus-ambassador-programme-at-entrepreneurship-cell-vit-university1578905160,Work From Home,16 Jan'20,Campus Ambassador,Performance Based,Immediately,,Social Media Marketing
5,29 Jan'20,Motilal Oswal,4 Months,/internship/detail/digital-marketing-internship-in-mumbai-at-motilal-oswal1579091591,Mumbai,15 Jan'20,Digital Marketing,,Immediately,3000 /Week,Social Media Marketing
6,19 Feb'20,MAYAPURI GROUP,3 Months,/internship/detail/social-media-marketing-internship-in-delhi-at-mayapuri-group1579074147,Delhi,15 Jan'20,Social Media Marketing,,Immediately,5000 /Month,Social Media Marketing
7,25 Jan'20,Zoomcar India Private Limited,2 Months,/internship/detail/campus-ambassador-programme-at-zoomcar-india-private-limited1578559025,Chennai,10 Jan'20,Campus Ambassador,Performance Based,Immediately,,Social Media Marketing
8,24 Jan'20,Balaji Telefilms Limited,6 Months,/internship/detail/social-media-marketing-internship-in-mumbai-at-balaji-telefilms-limited1578641721,Mumbai,10 Jan'20,Social Media Marketing,,Immediately,5000 /Month,Social Media Marketing
9,24 Jan'20,Exodia IIT Mandi,2 Months,/internship/detail/campus-ambassador-programme-at-exodia-iit-mandi1578468295,Work From Home,9 Jan'20,Campus Ambassador,Performance Based,Immediately,,Social Media Marketing
10,22 Jan'20,9X Media Private Limited,4 Months,/internship/detail/social-media-marketing-internship-in-mumbai-at-9x-media-private-limited1578463632,Mumbai,8 Jan'20,Social Media Marketing,,Immediately,5000 /Month,Social Media Marketing
11,22 Jan'20,E-Cell IIT Madras,1 Month,/internship/detail/campus-ambassador-programme-at-e-cell-iit-madras1578152189,Chennai,7 Jan'20,Campus Ambassador,Performance Based,Immediately,,Social Media Marketing
12,25 Jan'20,Viacom India LLP,3 Months,/internship/detail/digital-marketing-internship-in-gurgaon-at-viacom-india-llp1577467301,Gurgaon,30 Dec'19,Digital Marketing,,Immediately,3000 /Month,Social Media Marketing
13,1 Feb'20,Ferosh India,3 Months,/internship/detail/social-media-marketing-internship-in-delhi-at-ferosh-india1579337441,Delhi,18 Jan'20,Social Media Marketing,,Immediately,10000-15000 /Month,Social Media Marketing
14,1 Feb'20,Error Technologies,3 Months,/internship/detail/digital-marketing-internship-in-hyderabad-at-error-technologies1579336242,Hyderabad,18 Jan'20,Digital Marketing,,Immediately,4000 /Month,Social Media Marketing
15,1 Feb'20,Vritti Designs Private Limited,6 Months,/internship/detail/social-media-marketing-internship-in-mumbai-at-vritti-designs-private-limited1579335238,Mumbai,18 Jan'20,Social Media Marketing,,Immediately,6000 /Month,Social Media Marketing
16,1 Feb'20,Vritti Designs Private Limited,6 Months,/internship/detail/digital-marketing-internship-in-mumbai-at-vritti-designs-private-limited1579335221,Mumbai,18 Jan'20,Digital Marketing,,Immediately,6000 /Month,Social Media Marketing
17,1 Feb'20,Creatorshala,4 Months,/internship/detail/social-media-marketing-work-from-home-job-internship-at-creatorshala1579335220,Work From Home,18 Jan'20,Social Media Marketing,,Immediately,5000 /Month,Social Media Marketing
18,1 Feb'20,Vritti Designs Private Limited,6 Months,/internship/detail/content-writing-work-from-home-job-internship-at-vritti-designs-private-limited1579335199,Work From Home,18 Jan'20,Content Writing,,Immediately,6000 /Month,Social Media Marketing
19,1 Feb'20,Sonant Technologies Private Limited,3 Months,/internship/detail/content-writing-internship-in-jaipur-at-sonant-technologies-private-limited1579335047,Jaipur,18 Jan'20,Content Writing,,Immediately,5000-10000 /Month,Social Media Marketing
20,1 Feb'20,Aghori Media House Private Limited,3 Months,/internship/detail/social-media-marketing-internship-in-mumbai-at-aghori-media-house-private-limited1579334951,Mumbai,18 Jan'20,Social Media Marketing,,Immediately,5000 /Month,Social Media Marketing
21,1 Feb'20,Paytoways,3 Months,/internship/detail/digital-marketing-internship-in-hyderabad-at-paytoways1579334845,Hyderabad,18 Jan'20,Digital Marketing,,Immediately,5000-8000 /Month,Social Media Marketing
22,1 Feb'20,Paytoways,3 Months,/internship/detail/content-writing-internship-in-hyderabad-at-paytoways1579334795,Hyderabad,18 Jan'20,Content Writing,,Immediately,5000-8000 /Month,Social Media Marketing
23,1 Feb'20,IAppTunes,3 Months,/internship/detail/social-media-marketing-internship-in-multiple-locations-at-iapptunes1579334431,Kharar,18 Jan'20,Social Media Marketing,,Immediately,7000-12000 /Month,Social Media Marketing
24,1 Feb'20,Complay Digital Media Private Limited,3 Months,/internship/detail/social-media-marketing-work-from-home-job-internship-at-complay-digital-media-private-limited1579334227,Work From Home,18 Jan'20,Social Media Marketing,,Immediately,2000-5000 /Month,Social Media Marketing
25,1 Feb'20,Complay Digital Media Private Limited,2 Months,/internship/detail/digital-marketing-work-from-home-job-internship-at-complay-digital-media-private-limited1579334224,Work From Home,18 Jan'20,Digital Marketing,,Immediately,2000-6000 /Month,Social Media Marketing
26,1 Feb'20,Phixman Technologies Private Limited,3 Months,/internship/detail/digital-marketing-internship-in-delhi-dwarka-at-phixman-technologies-private-limited1579333933,Delhi,18 Jan'20,Digital Marketing,,Immediately,7000-9000 /Month,Social Media Marketing
27,1 Feb'20,Flipside Media Works,3 Months,/internship/detail/social-media-marketing-internship-in-mumbai-at-flipside-media-works1579332889,Mumbai,18 Jan'20,Social Media Marketing,,Immediately,8000-12000 /Month,Social Media Marketing
28,2 Feb'20,inFeedo,3 Months,/internship/detail/content-writing-internship-in-gurgaon-at-infeedo1579175503,Gurgaon,18 Jan'20,Content Writing,,Immediately,5000 /Month,Social Media Marketing
29,2 Feb'20,Registration Arena,6 Months,/internship/detail/content-writing-internship-in-kasarwadi-at-registration-arena1579179203,Kasarwadi,18 Jan'20,Content Writing,,Immediately,6000-10000 /Month,Social Media Marketing
30,2 Feb'20,Millionsclicks.com,3 Months,/internship/detail/social-media-marketing-work-from-home-job-internship-at-millionsclickscom1579174314,Work From Home,18 Jan'20,Social Media Marketing,,Immediately,2000 /Month +  Incentives,Social Media Marketing
31,1 Feb'20,Wynbee,3 Months,/internship/detail/social-media-marketing-internship-in-mumbai-at-wynbee1579330185,Mumbai,18 Jan'20,Social Media Marketing,,Immediately,5000-10000 /Month,Social Media Marketing
32,1 Feb'20,Beyonder Experiences LLP,3 Months,/internship/detail/social-media-marketing-part-time-job-internship-at-bangalore-in-beyonder-experiences-llp1579329649,Bangalore,18 Jan'20,Social Media Marketing,,Immediately,6000 /Month,Social Media Marketing
33,1 Feb'20,Web Solutions World,6 Months,/internship/detail/digital-marketing-work-from-home-job-internship-at-web-solutions-world1579329608,Work From Home,18 Jan'20,Digital Marketing,,Immediately,10000 /Month,Social Media Marketing
34,1 Feb'20,MiStay,2 Months,/internship/detail/content-writing-internship-in-bangalore-at-mistay1579328726,Bangalore,18 Jan'20,Content Writing,,Immediately,10000 /Month,Social Media Marketing
35,1 Feb'20,Voice Of Healthcare,3 Months,/internship/detail/digital-marketing-internship-in-gurgaon-at-voice-of-healthcare1579328666,Gurgaon,18 Jan'20,Digital Marketing,,Immediately,8000 /Month,Social Media Marketing
36,1 Feb'20,Klikk,6 Months,/internship/detail/social-media-marketing-internship-in-gurgaon-delhi-at-klikk1579328640,Gurgaon,18 Jan'20,Social Media Marketing,,Immediately,5000 /Month,Social Media Marketing
37,2 Feb'20,Tikilive,2 Months,/internship/detail/content-writing-internship-in-pune-at-tikilive1579173527,Pune,18 Jan'20,Content Writing,,Immediately,12000 /Month,Social Media Marketing
38,1 Feb'20,TimesNext Media Private Limited,3 Months,/internship/detail/content-writing-internship-in-mohali-at-timesnext-media-private-limited1579327985,Mohali,18 Jan'20,Content Writing,,Immediately,15000 /Month,Social Media Marketing
39,1 Feb'20,Antino Labs,6 Months,/internship/detail/digital-marketing-internship-in-gurgaon-at-antino-labs1579327848,Gurgaon,18 Jan'20,Digital Marketing,,Immediately,10000-20000 /Month,Social Media Marketing
40,30 Jan'20,"Srijan, IIT (ISM) Dhanbad.",3 Weeks,/internship/detail/campus-ambassador-programme-at-srijan-iit-ism-dhanbad1578667009,Dhanbad,15 Jan'20,Campus Ambassador,Performance Based,Immediately,,Social Media Marketing
41,30 Jan'20,AAHVAAN,1 Month,/internship/detail/campus-ambassador-programme-at-aahvaan1578719981,Delhi,15 Jan'20,Campus Ambassador,Performance Based,Immediately,,Social Media Marketing
42,31 Jan'20,"Tryst, IIT Delhi",2 Months,/internship/detail/campus-ambassador-programme-at-tryst-iit-delhi1579016894,Work From Home,17 Jan'20,Campus Ambassador,Performance Based,Immediately,,Social Media Marketing
43,31 Jan'20,Sudarshan TV Channel Private Limited,3 Months,/internship/detail/digital-marketing-internship-in-noida-at-sudarshan-tv-channel-private-limited1579241313,Noida,17 Jan'20,Digital Marketing,,Immediately,2000-5000 /Month,Social Media Marketing
44,3 Feb'20,"Entrepreneurship Cell, VIT University",2 Months,/internship/detail/campus-ambassador-programme-at-entrepreneurship-cell-vit-university1578905160,Work From Home,16 Jan'20,Campus Ambassador,Performance Based,Immediately,,Social Media Marketing
45,29 Jan'20,Motilal Oswal,4 Months,/internship/detail/digital-marketing-internship-in-mumbai-at-motilal-oswal1579091591,Mumbai,15 Jan'20,Digital Marketing,,Immediately,3000 /Week,Social Media Marketing
46,19 Feb'20,MAYAPURI GROUP,3 Months,/internship/detail/social-media-marketing-internship-in-delhi-at-mayapuri-group1579074147,Delhi,15 Jan'20,Social Media Marketing,,Immediately,5000 /Month,Social Media Marketing
47,25 Jan'20,Zoomcar India Private Limited,2 Months,/internship/detail/campus-ambassador-programme-at-zoomcar-india-private-limited1578559025,Chennai,10 Jan'20,Campus Ambassador,Performance Based,Immediately,,Social Media Marketing
48,24 Jan'20,Balaji Telefilms Limited,6 Months,/internship/detail/social-media-marketing-internship-in-mumbai-at-balaji-telefilms-limited1578641721,Mumbai,10 Jan'20,Social Media Marketing,,Immediately,5000 /Month,Social Media Marketing
49,24 Jan'20,Exodia IIT Mandi,2 Months,/internship/detail/campus-ambassador-programme-at-exodia-iit-mandi1578468295,Work From Home,9 Jan'20,Campus Ambassador,Performance Based,Immediately,,Social Media Marketing
50,22 Jan'20,9X Media Private Limited,4 Months,/internship/detail/social-media-marketing-internship-in-mumbai-at-9x-media-private-limited1578463632,Mumbai,8 Jan'20,Social Media Marketing,,Immediately,5000 /Month,Social Media Marketing
51,22 Jan'20,E-Cell IIT Madras,1 Month,/internship/detail/campus-ambassador-programme-at-e-cell-iit-madras1578152189,Chennai,7 Jan'20,Campus Ambassador,Performance Based,Immediately,,Social Media Marketing
52,25 Jan'20,Viacom India LLP,3 Months,/internship/detail/digital-marketing-internship-in-gurgaon-at-viacom-india-llp1577467301,Gurgaon,30 Dec'19,Digital Marketing,,Immediately,3000 /Month,Social Media Marketing
53,1 Feb'20,Ferosh India,3 Months,/internship/detail/social-media-marketing-internship-in-delhi-at-ferosh-india1579337441,Delhi,18 Jan'20,Social Media Marketing,,Immediately,10000-15000 /Month,Social Media Marketing
54,1 Feb'20,Error Technologies,3 Months,/internship/detail/digital-marketing-internship-in-hyderabad-at-error-technologies1579336242,Hyderabad,18 Jan'20,Digital Marketing,,Immediately,4000 /Month,Social Media Marketing
55,1 Feb'20,Vritti Designs Private Limited,6 Months,/internship/detail/social-media-marketing-internship-in-mumbai-at-vritti-designs-private-limited1579335238,Mumbai,18 Jan'20,Social Media Marketing,,Immediately,6000 /Month,Social Media Marketing
56,1 Feb'20,Vritti Designs Private Limited,6 Months,/internship/detail/digital-marketing-internship-in-mumbai-at-vritti-designs-private-limited1579335221,Mumbai,18 Jan'20,Digital Marketing,,Immediately,6000 /Month,Social Media Marketing
57,1 Feb'20,Creatorshala,4 Months,/internship/detail/social-media-marketing-work-from-home-job-internship-at-creatorshala1579335220,Work From Home,18 Jan'20,Social Media Marketing,,Immediately,5000 /Month,Social Media Marketing
58,1 Feb'20,Vritti Designs Private Limited,6 Months,/internship/detail/content-writing-work-from-home-job-internship-at-vritti-designs-private-limited1579335199,Work From Home,18 Jan'20,Content Writing,,Immediately,6000 /Month,Social Media Marketing
59,1 Feb'20,Sonant Technologies Private Limited,3 Months,/internship/detail/content-writing-internship-in-jaipur-at-sonant-technologies-private-limited1579335047,Jaipur,18 Jan'20,Content Writing,,Immediately,5000-10000 /Month,Social Media Marketing
60,1 Feb'20,Aghori Media House Private Limited,3 Months,/internship/detail/social-media-marketing-internship-in-mumbai-at-aghori-media-house-private-limited1579334951,Mumbai,18 Jan'20,Social Media Marketing,,Immediately,5000 /Month,Social Media Marketing
61,1 Feb'20,Paytoways,3 Months,/internship/detail/digital-marketing-internship-in-hyderabad-at-paytoways1579334845,Hyderabad,18 Jan'20,Digital Marketing,,Immediately,5000-8000 /Month,Social Media Marketing
62,1 Feb'20,Paytoways,3 Months,/internship/detail/content-writing-internship-in-hyderabad-at-paytoways1579334795,Hyderabad,18 Jan'20,Content Writing,,Immediately,5000-8000 /Month,Social Media Marketing
63,1 Feb'20,IAppTunes,3 Months,/internship/detail/social-media-marketing-internship-in-multiple-locations-at-iapptunes1579334431,Kharar,18 Jan'20,Social Media Marketing,,Immediately,7000-12000 /Month,Social Media Marketing
64,1 Feb'20,Complay Digital Media Private Limited,3 Months,/internship/detail/social-media-marketing-work-from-home-job-internship-at-complay-digital-media-private-limited1579334227,Work From Home,18 Jan'20,Social Media Marketing,,Immediately,2000-5000 /Month,Social Media Marketing
65,1 Feb'20,Complay Digital Media Private Limited,2 Months,/internship/detail/digital-marketing-work-from-home-job-internship-at-complay-digital-media-private-limited1579334224,Work From Home,18 Jan'20,Digital Marketing,,Immediately,2000-6000 /Month,Social Media Marketing
66,1 Feb'20,Phixman Technologies Private Limited,3 Months,/internship/detail/digital-marketing-internship-in-delhi-dwarka-at-phixman-technologies-private-limited1579333933,Delhi,18 Jan'20,Digital Marketing,,Immediately,7000-9000 /Month,Social Media Marketing
67,1 Feb'20,Flipside Media Works,3 Months,/internship/detail/social-media-marketing-internship-in-mumbai-at-flipside-media-works1579332889,Mumbai,18 Jan'20,Social Media Marketing,,Immediately,8000-12000 /Month,Social Media Marketing
68,2 Feb'20,inFeedo,3 Months,/internship/detail/content-writing-internship-in-gurgaon-at-infeedo1579175503,Gurgaon,18 Jan'20,Content Writing,,Immediately,5000 /Month,Social Media Marketing
69,2 Feb'20,Registration Arena,6 Months,/internship/detail/content-writing-internship-in-kasarwadi-at-registration-arena1579179203,Kasarwadi,18 Jan'20,Content Writing,,Immediately,6000-10000 /Month,Social Media Marketing
70,2 Feb'20,Millionsclicks.com,3 Months,/internship/detail/social-media-marketing-work-from-home-job-internship-at-millionsclickscom1579174314,Work From Home,18 Jan'20,Social Media Marketing,,Immediately,2000 /Month +  Incentives,Social Media Marketing
71,1 Feb'20,Wynbee,3 Months,/internship/detail/social-media-marketing-internship-in-mumbai-at-wynbee1579330185,Mumbai,18 Jan'20,Social Media Marketing,,Immediately,5000-10000 /Month,Social Media Marketing
72,1 Feb'20,Beyonder Experiences LLP,3 Months,/internship/detail/social-media-marketing-part-time-job-internship-at-bangalore-in-beyonder-experiences-llp1579329649,Bangalore,18 Jan'20,Social Media Marketing,,Immediately,6000 /Month,Social Media Marketing
