,Apply,Company,Duration,Link,Location,Posted,Profile,Start,Stipend,Tag
0,31 Jan'20,Motilal Oswal,4 Months,/internship/detail/stock-market-trading-strategy-development-internship-in-mumbai-at-motilal-oswal1579090031,Mumbai,16 Jan'20,Stock Market Trading Strategy Development,Immediately,3000 /Month,Statistics
1,28 Jan'20,Pina Systems,6 Months,/internship/detail/stock-market-trading-internship-in-mumbai-at-pina-systems1579002527,Mumbai,14 Jan'20,Stock Market Trading,Immediately,5000-10000 /Month,Statistics
2,29 Jan'20,Evelyn Learning System,2 Months,/internship/detail/content-development-economics-internship-in-multiple-locations-at-evelyn-learning-system1578888300,Delhi,14 Jan'20,Content Development (Economics),Immediately,12000-22000 /Month,Statistics
3,29 Jan'20,Evelyn Learning Systems,2 Months,/internship/detail/subject-matter-expert-statistics-internship-in-noida-at-evelyn-learning-systems1579000245,Noida,14 Jan'20,Subject Matter Expert (Statistics),Immediately,12000-20000 /Month,Statistics
4,27 Jan'20,TutorDip Online Tutoring Private Limited,2 Months,/internship/detail/statistics-work-from-home-job-internship-at-tutordip-online-tutoring-private-limited1578921020,Work From Home,13 Jan'20,Statistics,Immediately,5000 /Month,Statistics
5,25 Jan'20,Evelyn Learning System,2 Months,/internship/detail/content-development-actuarial-maths-internship-in-multiple-locations-at-evelyn-learning-system1578549231,Delhi,10 Jan'20,Content Development (Actuarial-Maths),Immediately,12000-22000 /Month,Statistics
6,22 Jan'20,Abhideep Group,3 Months,/internship/detail/quantitative-finance-and-trading-app-development-work-from-home-job-internship-at-abhideep-group1578290652,Work From Home,7 Jan'20,Quantitative Finance And Trading App Development,Immediately,10000-12000 /Month,Statistics
7,21 Jan'20,VCS Media,6 Weeks,/internship/detail/statistics-internship-in-multiple-locations-at-vcs-media1578295131,Kurukshetra,6 Jan'20,Statistics,Immediately,12000-16000 Lump-Sum,Statistics
8,5 Feb'20,Deep  Manek,3 Months,/internship/detail/algo-trading-internship-in-mumbai-at-deep-manek1577789602,Mumbai,31 Dec'19,Algo Trading,Immediately,10000 /Month,Statistics
9,31 Jan'20,Dimentics Info Tech Private Limited,2 Months,/internship/detail/subject-matter-expert-statistics-internship-in-delhi-at-dimentics-info-tech-private-limited1577731207,Delhi,31 Dec'19,Subject Matter Expert (Statistics),Immediately,13000-15000 /Month,Statistics
10,31 Jan'20,Agrobium Technologies LLP,1 Month,/internship/detail/scientific-research-writing-internship-in-pune-at-agrobium-technologies-llp1577419704,Pune,27 Dec'19,Scientific Research Writing,Immediately,2000 /Month,Statistics
11,18 Jan'20,Abacus Management Consultants,4 Months,/internship/detail/statistics-part-time-job-internship-at-delhi-in-abacus-management-consultants1576304460,Delhi,14 Dec'19,Statistics,Immediately,3500-5000 /Month,Statistics
12,31 Jan'20,Motilal Oswal,4 Months,/internship/detail/stock-market-trading-strategy-development-internship-in-mumbai-at-motilal-oswal1579090031,Mumbai,16 Jan'20,Stock Market Trading Strategy Development,Immediately,3000 /Month,Statistics
13,28 Jan'20,Pina Systems,6 Months,/internship/detail/stock-market-trading-internship-in-mumbai-at-pina-systems1579002527,Mumbai,14 Jan'20,Stock Market Trading,Immediately,5000-10000 /Month,Statistics
14,29 Jan'20,Evelyn Learning System,2 Months,/internship/detail/content-development-economics-internship-in-multiple-locations-at-evelyn-learning-system1578888300,Delhi,14 Jan'20,Content Development (Economics),Immediately,12000-22000 /Month,Statistics
15,29 Jan'20,Evelyn Learning Systems,2 Months,/internship/detail/subject-matter-expert-statistics-internship-in-noida-at-evelyn-learning-systems1579000245,Noida,14 Jan'20,Subject Matter Expert (Statistics),Immediately,12000-20000 /Month,Statistics
16,27 Jan'20,TutorDip Online Tutoring Private Limited,2 Months,/internship/detail/statistics-work-from-home-job-internship-at-tutordip-online-tutoring-private-limited1578921020,Work From Home,13 Jan'20,Statistics,Immediately,5000 /Month,Statistics
17,25 Jan'20,Evelyn Learning System,2 Months,/internship/detail/content-development-actuarial-maths-internship-in-multiple-locations-at-evelyn-learning-system1578549231,Delhi,10 Jan'20,Content Development (Actuarial-Maths),Immediately,12000-22000 /Month,Statistics
18,22 Jan'20,Abhideep Group,3 Months,/internship/detail/quantitative-finance-and-trading-app-development-work-from-home-job-internship-at-abhideep-group1578290652,Work From Home,7 Jan'20,Quantitative Finance And Trading App Development,Immediately,10000-12000 /Month,Statistics
19,21 Jan'20,VCS Media,6 Weeks,/internship/detail/statistics-internship-in-multiple-locations-at-vcs-media1578295131,Kurukshetra,6 Jan'20,Statistics,Immediately,12000-16000 Lump-Sum,Statistics
20,5 Feb'20,Deep  Manek,3 Months,/internship/detail/algo-trading-internship-in-mumbai-at-deep-manek1577789602,Mumbai,31 Dec'19,Algo Trading,Immediately,10000 /Month,Statistics
21,31 Jan'20,Dimentics Info Tech Private Limited,2 Months,/internship/detail/subject-matter-expert-statistics-internship-in-delhi-at-dimentics-info-tech-private-limited1577731207,Delhi,31 Dec'19,Subject Matter Expert (Statistics),Immediately,13000-15000 /Month,Statistics
22,31 Jan'20,Agrobium Technologies LLP,1 Month,/internship/detail/scientific-research-writing-internship-in-pune-at-agrobium-technologies-llp1577419704,Pune,27 Dec'19,Scientific Research Writing,Immediately,2000 /Month,Statistics
23,18 Jan'20,Abacus Management Consultants,4 Months,/internship/detail/statistics-part-time-job-internship-at-delhi-in-abacus-management-consultants1576304460,Delhi,14 Dec'19,Statistics,Immediately,3500-5000 /Month,Statistics
