,Apply,Company,Duration,Link,Location,Posted,Profile,Start,Stipend,Tag
0,31 Jan'20,Motilal Oswal,4 Months,/internship/detail/stock-market-trading-strategy-development-internship-in-mumbai-at-motilal-oswal1579090031,Mumbai,16 Jan'20,Stock Market Trading Strategy Development,Immediately,3000 /Month,Strategy
1,31 Jan'20,Hashtag-HR,2 Weeks,/internship/detail/business-strategy-internship-in-gurgaon-at-hashtag-hr1579256291,Gurgaon,17 Jan'20,Business Strategy,Immediately,5000 Lump-Sum,Strategy
2,30 Jan'20,Prajna Self Care,3 Months,/internship/detail/business-strategy-internship-in-navi-mumbai-at-prajna-self-care1579177957,Navi Mumbai,16 Jan'20,Business Strategy,Immediately,10000 /Month,Strategy
3,25 Jan'20,Feelberry Limited,6 Months,/internship/detail/brand-communications-internship-in-pune-at-feelberry-limited1578719216,Pune,11 Jan'20,Brand Communications,Immediately,17000-22000 /Month,Strategy
4,25 Jan'20,Summachar,6 Months,/internship/detail/digital-marketing-internship-in-ahmedabad-at-summachar1578470290,Ahmedabad,10 Jan'20,Digital Marketing,Immediately,2000 /Month,Strategy
5,23 Jan'20,MyMegaminds,6 Weeks,/internship/detail/operations-management-work-from-home-job-internship-at-mymegaminds1578556365,Work From Home,9 Jan'20,Operations Management,Immediately,6000-10000 Lump-Sum,Strategy
6,10 Feb'20,LopScoop,6 Months,/internship/detail/social-media-executive-internship-in-noida-at-lopscoop1578547431,Noida,9 Jan'20,Social Media Executive,Immediately,10000-18000 /Month,Strategy
7,23 Jan'20,Newgen Creations Private Limited,2 Months,/internship/detail/thesis-writing-work-from-home-job-internship-at-newgen-creations-private-limited1578540935,Work From Home,9 Jan'20,Thesis Writing,Immediately,6000 /Month,Strategy
8,23 Jan'20,ScienceUtsav,6 Months,/internship/detail/strategic-marketing-internship-in-mumbai-at-scienceutsav1578374417,Mumbai,8 Jan'20,Strategic Marketing,Immediately,10000-18000 /Month,Strategy
9,22 Jan'20,Abhideep Group,3 Months,/internship/detail/quantitative-finance-and-trading-app-development-work-from-home-job-internship-at-abhideep-group1578290652,Work From Home,7 Jan'20,Quantitative Finance And Trading App Development,Immediately,10000-12000 /Month,Strategy
10,21 Jan'20,Serv India Consultants,6 Months,/internship/detail/business-strategy-part-time-job-internship-at-multiple-locations-in-serv-india-consultants1578309233,Faridabad,6 Jan'20,Business Strategy,Immediately,3000 /Month,Strategy
11,27 Jan'20,Newgen Creations Private Limited,2 Months,/internship/detail/thesis-writing-internship-in-madurai-at-newgen-creations-private-limited1577095210,Madurai,23 Dec'19,Thesis Writing,Immediately,4000 /Month,Strategy
12,31 Jan'20,Motilal Oswal,4 Months,/internship/detail/stock-market-trading-strategy-development-internship-in-mumbai-at-motilal-oswal1579090031,Mumbai,16 Jan'20,Stock Market Trading Strategy Development,Immediately,3000 /Month,Strategy
13,31 Jan'20,Hashtag-HR,2 Weeks,/internship/detail/business-strategy-internship-in-gurgaon-at-hashtag-hr1579256291,Gurgaon,17 Jan'20,Business Strategy,Immediately,5000 Lump-Sum,Strategy
14,30 Jan'20,Prajna Self Care,3 Months,/internship/detail/business-strategy-internship-in-navi-mumbai-at-prajna-self-care1579177957,Navi Mumbai,16 Jan'20,Business Strategy,Immediately,10000 /Month,Strategy
15,25 Jan'20,Feelberry Limited,6 Months,/internship/detail/brand-communications-internship-in-pune-at-feelberry-limited1578719216,Pune,11 Jan'20,Brand Communications,Immediately,17000-22000 /Month,Strategy
16,25 Jan'20,Summachar,6 Months,/internship/detail/digital-marketing-internship-in-ahmedabad-at-summachar1578470290,Ahmedabad,10 Jan'20,Digital Marketing,Immediately,2000 /Month,Strategy
17,23 Jan'20,MyMegaminds,6 Weeks,/internship/detail/operations-management-work-from-home-job-internship-at-mymegaminds1578556365,Work From Home,9 Jan'20,Operations Management,Immediately,6000-10000 Lump-Sum,Strategy
18,10 Feb'20,LopScoop,6 Months,/internship/detail/social-media-executive-internship-in-noida-at-lopscoop1578547431,Noida,9 Jan'20,Social Media Executive,Immediately,10000-18000 /Month,Strategy
19,23 Jan'20,Newgen Creations Private Limited,2 Months,/internship/detail/thesis-writing-work-from-home-job-internship-at-newgen-creations-private-limited1578540935,Work From Home,9 Jan'20,Thesis Writing,Immediately,6000 /Month,Strategy
20,23 Jan'20,ScienceUtsav,6 Months,/internship/detail/strategic-marketing-internship-in-mumbai-at-scienceutsav1578374417,Mumbai,8 Jan'20,Strategic Marketing,Immediately,10000-18000 /Month,Strategy
21,22 Jan'20,Abhideep Group,3 Months,/internship/detail/quantitative-finance-and-trading-app-development-work-from-home-job-internship-at-abhideep-group1578290652,Work From Home,7 Jan'20,Quantitative Finance And Trading App Development,Immediately,10000-12000 /Month,Strategy
22,21 Jan'20,Serv India Consultants,6 Months,/internship/detail/business-strategy-part-time-job-internship-at-multiple-locations-in-serv-india-consultants1578309233,Faridabad,6 Jan'20,Business Strategy,Immediately,3000 /Month,Strategy
23,27 Jan'20,Newgen Creations Private Limited,2 Months,/internship/detail/thesis-writing-internship-in-madurai-at-newgen-creations-private-limited1577095210,Madurai,23 Dec'19,Thesis Writing,Immediately,4000 /Month,Strategy
