,Apply,Company,Duration,Link,Location,Posted,Profile,Start,Stipend,Tag
0,27 Jan'20,Kotak Mahindra Bank,6 Months,/internship/detail/ui-ux-design-internship-in-mumbai-at-kotak-mahindra-bank1577097616,Mumbai,23 Dec'19,UI/UX Design,Immediately,15000 /Month,UI UX Design
1,22 Feb'20,HomeCapital,3 Months,/internship/detail/ux-ui-design-internship-in-mumbai-at-homecapital1579083004,Mumbai,17 Jan'20,UX/UI Design,Immediately,12000-15000 /Month,UI UX Design
2,1 Feb'20,Ashish Singh,3 Months,/internship/detail/ui-ux-design-internship-in-pune-mumbai-at-ashish-singh1578904284,Pune,17 Jan'20,UI/UX Design,Immediately,10000 /Month,UI UX Design
3,31 Jan'20,PlanyrTrip,4 Months,/internship/detail/ui-ux-design-internship-in-delhi-at-planyrtrip1579239616,Delhi,17 Jan'20,UI/UX Design,Immediately,6000 /Month,UI UX Design
4,1 Feb'20,Project Assignment Solutions,2 Months,/internship/detail/ui-ux-design-part-time-job-internship-at-delhi-in-project-assignment-solutions1579233317,Delhi,17 Jan'20,UI/UX Design,Immediately,10000-20000 /Month,UI UX Design
5,1 Feb'20,Papa Fit Technology Services,4 Months,/internship/detail/reactjs-development-internship-in-bangalore-at-papa-fit-technology-services1579221240,Bangalore,17 Jan'20,ReactJS Development,Immediately,6000 /Month,UI UX Design
6,31 Jan'20,Across The Globe (ATG),6 Months,/internship/detail/ux-ui-graphic-design-work-from-home-job-internship-at-across-the-globe-atg1579202310,Work From Home,17 Jan'20,UX/UI & Graphic Design,Immediately,3000 /Month +  Incentives,UI UX Design
7,30 Jan'20,AskIITians,4 Months,/internship/detail/ux-ui-design-internship-in-noida-at-askiitians1579176470,Noida,16 Jan'20,UX/UI Design,Immediately,15000-25000 /Month,UI UX Design
8,30 Jan'20,iTalent India Management Consultants Private Limited,6 Months,/internship/detail/ui-ux-design-internship-in-pune-at-italent-india-management-consultants-private-limited1579173907,Pune,16 Jan'20,UI/UX Design,Immediately,10000-15000 /Month,UI UX Design
9,30 Jan'20,BrandzGarage,4 Months,/internship/detail/ui-ux-design-internship-in-pune-at-brandzgarage1579172460,Pune,16 Jan'20,UI/UX Design,Immediately,7500 /Month,UI UX Design
